step,time/fps
1024,1149.0
2048,1016.0
3072,1004.0
4096,994.0
5120,989.0
6144,997.0
7168,992.0
8192,989.0
9216,992.0
10240,995.0
11264,999.0
12288,1002.0
13312,1005.0
14336,1008.0
15360,1011.0
16384,1010.0
17408,1002.0
18432,997.0
19456,989.0
20480,981.0
21504,972.0
22528,965.0
23552,963.0
24576,963.0
25600,962.0
26624,960.0
27648,960.0
28672,960.0
29696,960.0
30720,960.0
31744,960.0
32768,960.0
33792,961.0
34816,961.0
35840,963.0
36864,965.0
37888,967.0
38912,968.0
39936,970.0
40960,972.0
41984,973.0
43008,974.0
44032,974.0
45056,976.0
46080,977.0
47104,977.0
48128,975.0
49152,973.0
50176,971.0
51200,971.0
52224,971.0
53248,971.0
54272,969.0
55296,968.0
56320,968.0
57344,968.0
58368,968.0
59392,968.0
60416,968.0
61440,968.0
62464,968.0
63488,968.0
64512,968.0
65536,968.0
66560,967.0
67584,967.0
68608,968.0
69632,969.0
70656,969.0
71680,970.0
72704,970.0
73728,971.0
74752,972.0
75776,973.0
76800,973.0
77824,973.0
78848,973.0
79872,972.0
80896,971.0
81920,969.0
82944,968.0
83968,966.0
84992,965.0
86016,966.0
87040,967.0
88064,967.0
89088,968.0
90112,969.0
91136,969.0
92160,969.0
93184,970.0
94208,970.0
95232,970.0
96256,970.0
97280,969.0
98304,969.0
99328,969.0
100352,969.0
101376,970.0
102400,970.0
103424,971.0
104448,972.0
105472,972.0
106496,972.0
107520,973.0
108544,973.0
109568,972.0
110592,972.0
111616,972.0
112640,972.0
113664,972.0
114688,972.0
115712,972.0
116736,972.0
117760,973.0
118784,973.0
119808,974.0
120832,974.0
121856,975.0
122880,976.0
123904,976.0
124928,976.0
125952,977.0
126976,977.0
128000,977.0
129024,977.0
130048,978.0
131072,978.0
132096,978.0
133120,979.0
134144,979.0
135168,979.0
136192,980.0
137216,980.0
138240,980.0
139264,981.0
140288,981.0
141312,981.0
142336,980.0
143360,980.0
144384,980.0
145408,980.0
146432,979.0
147456,979.0
148480,979.0
149504,979.0
150528,979.0
151552,980.0
152576,980.0
153600,981.0
154624,981.0
155648,982.0
156672,982.0
157696,982.0
158720,982.0
159744,982.0
160768,982.0
161792,983.0
162816,983.0
163840,983.0
164864,984.0
165888,985.0
166912,985.0
167936,985.0
168960,986.0
169984,986.0
171008,987.0
172032,987.0
173056,986.0
174080,986.0
175104,986.0
176128,985.0
177152,985.0
178176,985.0
179200,984.0
180224,983.0
181248,983.0
182272,984.0
183296,984.0
184320,984.0
185344,984.0
186368,984.0
187392,984.0
188416,984.0
189440,985.0
190464,985.0
191488,985.0
192512,985.0
193536,986.0
194560,986.0
195584,986.0
196608,987.0
197632,987.0
198656,987.0
199680,988.0
200704,975.0
201728,974.0
202752,975.0
203776,975.0
204800,975.0
205824,975.0
206848,975.0
207872,976.0
208896,976.0
209920,976.0
210944,976.0
211968,976.0
212992,976.0
214016,976.0
215040,976.0
216064,976.0
217088,976.0
218112,976.0
219136,976.0
220160,976.0
221184,976.0
222208,977.0
223232,977.0
224256,977.0
225280,977.0
226304,977.0
227328,977.0
228352,977.0
229376,978.0
230400,978.0
231424,978.0
232448,978.0
233472,978.0
234496,978.0
235520,978.0
236544,978.0
237568,978.0
238592,978.0
239616,978.0
240640,978.0
241664,978.0
242688,979.0
243712,979.0
244736,980.0
245760,980.0
246784,980.0
247808,980.0
248832,980.0
249856,980.0
250880,980.0
251904,981.0
252928,981.0
253952,980.0
254976,980.0
256000,981.0
257024,981.0
258048,981.0
259072,981.0
260096,982.0
261120,982.0
262144,982.0
263168,982.0
264192,982.0
265216,981.0
266240,981.0
267264,981.0
268288,981.0
269312,981.0
270336,981.0
271360,981.0
272384,981.0
273408,981.0
274432,982.0
275456,982.0
276480,982.0
277504,982.0
278528,983.0
279552,983.0
280576,983.0
281600,983.0
282624,983.0
283648,983.0
284672,983.0
285696,984.0
286720,984.0
287744,984.0
288768,984.0
289792,985.0
290816,985.0
291840,985.0
292864,985.0
293888,985.0
294912,985.0
295936,985.0
296960,985.0
297984,984.0
299008,984.0
300032,984.0
301056,984.0
302080,984.0
303104,984.0
304128,984.0
305152,984.0
306176,985.0
307200,985.0
308224,985.0
309248,986.0
310272,986.0
311296,986.0
312320,986.0
313344,986.0
314368,986.0
315392,987.0
316416,987.0
317440,987.0
318464,987.0
319488,988.0
320512,988.0
321536,988.0
322560,988.0
323584,989.0
324608,989.0
325632,989.0
326656,989.0
327680,988.0
328704,988.0
329728,988.0
330752,988.0
331776,987.0
332800,987.0
333824,987.0
334848,987.0
335872,988.0
336896,988.0
337920,988.0
338944,988.0
339968,988.0
340992,988.0
342016,988.0
343040,988.0
344064,988.0
345088,988.0
346112,989.0
347136,989.0
348160,989.0
349184,989.0
350208,990.0
351232,990.0
352256,990.0
353280,990.0
354304,991.0
355328,991.0
356352,991.0
357376,991.0
358400,991.0
359424,991.0
360448,991.0
361472,991.0
362496,991.0
363520,991.0
364544,991.0
365568,991.0
366592,991.0
367616,991.0
368640,991.0
369664,991.0
370688,991.0
371712,991.0
372736,991.0
373760,991.0
374784,991.0
375808,991.0
376832,991.0
377856,991.0
378880,991.0
379904,991.0
380928,991.0
381952,991.0
382976,991.0
384000,992.0
385024,992.0
386048,992.0
387072,992.0
388096,992.0
389120,992.0
390144,992.0
391168,992.0
392192,992.0
393216,993.0
394240,993.0
395264,993.0
396288,993.0
397312,993.0
398336,994.0
399360,994.0
400384,986.0
401408,986.0
402432,986.0
403456,986.0
404480,986.0
405504,986.0
406528,986.0
407552,986.0
408576,986.0
409600,986.0
410624,987.0
411648,987.0
412672,987.0
413696,988.0
414720,988.0
415744,988.0
416768,988.0
417792,988.0
418816,988.0
419840,988.0
420864,988.0
421888,988.0
422912,988.0
423936,988.0
424960,989.0
425984,989.0
427008,989.0
428032,989.0
429056,990.0
430080,990.0
431104,990.0
432128,991.0
433152,991.0
434176,991.0
435200,991.0
436224,992.0
437248,992.0
438272,992.0
439296,992.0
440320,993.0
441344,993.0
442368,993.0
443392,993.0
444416,994.0
445440,994.0
446464,994.0
447488,994.0
448512,994.0
449536,994.0
450560,994.0
451584,993.0
452608,993.0
453632,993.0
454656,993.0
455680,993.0
456704,993.0
457728,993.0
458752,993.0
459776,993.0
460800,993.0
461824,994.0
462848,994.0
463872,994.0
464896,995.0
465920,995.0
466944,995.0
467968,995.0
468992,995.0
470016,996.0
471040,996.0
472064,996.0
473088,996.0
474112,997.0
475136,997.0
476160,997.0
477184,997.0
478208,998.0
479232,998.0
480256,998.0
481280,998.0
482304,998.0
483328,998.0
484352,998.0
485376,998.0
486400,998.0
487424,998.0
488448,998.0
489472,998.0
490496,999.0
491520,999.0
492544,999.0
493568,999.0
494592,999.0
495616,999.0
496640,999.0
497664,999.0
498688,999.0
499712,999.0
500736,1000.0
501760,1000.0
502784,1000.0
503808,1000.0
504832,1001.0
505856,1001.0
506880,1001.0
507904,1001.0
508928,1002.0
509952,1002.0
510976,1002.0
512000,1002.0
513024,1002.0
514048,1002.0
515072,1003.0
516096,1003.0
517120,1003.0
518144,1003.0
519168,1003.0
520192,1003.0
521216,1003.0
522240,1003.0
523264,1004.0
524288,1004.0
525312,1004.0
526336,1004.0
