step,train/approx_kl
2048,0.002747774124145508
3072,0.0010381147731095552
4096,0.0014338139444589615
5120,0.0026652838569134474
6144,0.0024697864428162575
7168,0.0016821273602545261
8192,0.00348994554951787
9216,0.004347817972302437
10240,0.0017972802743315697
11264,0.0020993330981582403
12288,0.002551870886236429
13312,0.003428265918046236
14336,0.0036152980756014585
15360,0.001803537830710411
16384,0.0026179002597928047
17408,0.0033928975462913513
18432,0.0023650173097848892
19456,0.00270770862698555
20480,0.0017005689442157745
21504,0.00431031035259366
22528,0.002630836796015501
23552,0.0027322943788021803
24576,0.003035908564925194
25600,0.005428764969110489
26624,0.0069769034162163734
27648,0.0027872624341398478
28672,0.002220665104687214
29696,0.0017866245470941067
30720,0.0016484435182064772
31744,0.002051721327006817
32768,0.0022035858128219843
33792,0.0013584913685917854
34816,0.0015731931198388338
35840,0.002898645354434848
36864,0.0023440010845661163
37888,0.0037640382070094347
38912,0.004395013675093651
39936,0.004691174253821373
40960,0.0016052525024861097
41984,0.004100094549357891
43008,0.0028848410584032536
44032,0.0028938441537320614
45056,0.0014533523935824633
46080,0.003743351437151432
47104,0.0020729945972561836
48128,0.0014419291401281953
49152,0.00288092577829957
50176,0.0011824502144008875
51200,0.003122460562735796
52224,0.0042565190233290195
53248,0.0013833625707775354
54272,0.0048752035945653915
55296,0.002434198511764407
56320,0.005195701029151678
57344,0.0026926894206553698
58368,0.0027945099864155054
59392,0.005661562085151672
60416,0.0017269604140892625
61440,0.0015604111831635237
62464,0.0028695384971797466
63488,0.002193739637732506
64512,0.001907706493511796
65536,0.002410600893199444
66560,0.002019502455368638
67584,0.0012160446494817734
68608,0.003930240869522095
69632,0.0031091582495719194
70656,0.0012084064073860645
71680,0.002099645556882024
72704,0.0045708720572292805
73728,0.0027349733281880617
74752,0.0043254136107862
75776,0.0017224294133484364
76800,0.0033994223922491074
77824,0.005102762021124363
78848,0.0018859343836084008
79872,0.0016953283920884132
80896,0.002191664883866906
81920,0.0019257490057498217
82944,0.003789563663303852
83968,0.004314425401389599
84992,0.0032471208833158016
86016,0.003368533216416836
87040,0.0035269479267299175
88064,0.0018122853944078088
89088,0.0019681742414832115
90112,0.0017569444607943296
91136,0.0027111901436001062
92160,0.0027653733268380165
93184,0.0023857159540057182
94208,0.003201246727257967
95232,0.001747717848047614
96256,0.0014690473908558488
97280,0.002051446819677949
98304,0.001707041054032743
99328,0.0021324523258954287
100352,0.0034329381305724382
101376,0.0024660653434693813
102400,0.0013392383698374033
103424,0.00286870077252388
104448,0.0014882092364132404
105472,0.0022316481918096542
106496,0.002214230829849839
107520,0.0010671962518244982
108544,0.002599202562123537
109568,0.0021813521161675453
110592,0.002490865532308817
111616,0.0017670479137450457
112640,0.0021343864500522614
113664,0.0023565301671624184
114688,0.0011239342857152224
115712,0.001446764450520277
116736,0.0008355894242413342
117760,0.0008960523409768939
118784,0.0015555514255538583
119808,0.0017994069494307041
120832,0.004352740943431854
121856,0.0032423611264675856
122880,0.002159086288884282
123904,0.002236403292044997
124928,0.001702369307167828
125952,0.0016194430645555258
126976,0.001828138716518879
128000,0.0014907063450664282
129024,0.0011081646662205458
130048,0.0024520279839634895
131072,0.0030990312807261944
132096,0.0025818063877522945
133120,0.0016416996950283647
134144,0.002027308801189065
135168,0.001865030499175191
136192,0.0022977227345108986
137216,0.0017744380747899413
138240,0.0034162234514951706
139264,0.0013199759414419532
140288,0.0022177714854478836
141312,0.0032133636996150017
142336,0.002303670160472393
143360,0.0019435302820056677
144384,0.0024007558822631836
145408,0.0021255670581012964
146432,0.002852790057659149
147456,0.004337453283369541
148480,0.0029339089524000883
149504,0.0021125662606209517
150528,0.0031125706154853106
151552,0.00213932478800416
152576,0.001861147116869688
153600,0.0036956791300326586
154624,0.003405909985303879
155648,0.0016878973692655563
156672,0.002182592870667577
157696,0.002940335078164935
158720,0.0017158869886770844
159744,0.005799984559416771
160768,0.0035083971451967955
