step,train/policy_gradient_loss
2048,-0.0022934945300221443
3072,-0.002278862986713648
4096,0.0006254368927329779
5120,-0.0014237381983548403
6144,-0.0020227343775331974
7168,0.00022024661302566528
8192,-0.0037244365084916353
9216,-0.0004703810263890773
10240,-0.0005392131279222667
11264,-0.0009261547238565981
12288,-0.0018860704731196165
13312,-0.0012168653775006533
14336,-0.0016308221966028214
15360,-0.0008423766121268272
16384,-0.004050732124596834
17408,-0.001980071421712637
18432,-0.0015840510604903102
19456,-0.000567799259442836
20480,0.00023019651416689157
21504,0.0003029174986295402
22528,-0.00024075346300378442
23552,-0.0008388877031393349
24576,-4.4769374653697014e-05
25600,-0.0004000024637207389
26624,-0.0006577641470357776
27648,-0.0007432916318066418
28672,-0.001121132168918848
29696,-0.0023178155533969402
30720,-0.0007645775913260877
31744,-0.0005778491613455117
32768,-0.0028023174963891506
33792,-0.00046574961743317544
34816,-0.0005707055097445846
35840,-0.0009795966325327754
36864,-0.0016561122611165047
37888,-0.000612397852819413
38912,-0.001608727965503931
39936,-0.0002813756000250578
40960,-0.0015766203869134188
41984,-0.0004641068517230451
43008,-0.0016808109357953072
44032,0.0011389353312551975
45056,-0.0006491973181255162
46080,-0.0012483253376558423
47104,-0.0018861913122236729
48128,-0.0009609720436856151
49152,-0.0015753514599055052
50176,-0.0022551147267222404
51200,-0.0025623622350394726
52224,-0.0022794497199356556
53248,-0.0014320819173008204
54272,0.0002510352642275393
55296,-0.0007103074458427727
56320,-0.0010338460560888052
57344,-0.0007484550005756319
58368,-0.0004627207526937127
59392,-0.0028895242139697075
60416,-0.0012725256383419037
61440,-0.0019351589726284146
62464,-0.0010579056106507778
63488,-0.002791406586766243
64512,-0.001846876461058855
65536,-0.0008752797148190439
66560,-0.0003474365803413093
67584,-0.0010477215982973576
68608,-0.0020448206923902035
69632,-0.001156855607405305
70656,-0.0025010223034769297
71680,-0.0013148419093340635
72704,-0.000883688626345247
73728,-0.0006768924067728221
74752,-0.000160362251335755
75776,1.200730912387371e-05
76800,-0.0011719578178599477
77824,-0.002648148452863097
78848,-0.0016642567934468389
79872,-0.003939948044717312
80896,-0.002974920440465212
81920,-0.00047484808601439
