step,rollout/episode_length
2048,846.2857055664062
3072,877.875
4096,860.0625
5120,867.227294921875
6144,871.5
7168,870.3225708007812
8192,871.3030395507812
9216,874.3846435546875
10240,872.2000122070312
11264,873.4583129882812
12288,882.4363403320312
13312,879.614013671875
14336,887.796875
15360,885.13232421875
16384,885.7777709960938
17408,884.9078979492188
18432,885.5
19456,883.8863525390625
20480,883.022216796875
21504,885.2083129882812
22528,884.2000122070312
23552,886.9600219726562
24576,888.8499755859375
25600,890.1199951171875
26624,891.5499877929688
27648,890.0900268554688
28672,890.1199951171875
29696,890.5599975585938
30720,888.0800170898438
31744,888.2000122070312
32768,887.1599731445312
33792,880.5599975585938
34816,878.47998046875
35840,876.0
36864,875.1300048828125
37888,874.8800048828125
38912,875.9500122070312
39936,877.2100219726562
40960,880.9299926757812
41984,880.8200073242188
43008,879.72998046875
44032,884.8800048828125
45056,882.780029296875
46080,882.3499755859375
47104,879.2000122070312
48128,882.5700073242188
49152,882.1199951171875
50176,887.6699829101562
51200,887.5800170898438
52224,890.010009765625
53248,892.8699951171875
54272,892.3599853515625
55296,898.6199951171875
56320,901.5800170898438
57344,901.1400146484375
58368,897.3599853515625
59392,901.6599731445312
60416,901.8300170898438
61440,898.530029296875
62464,890.1199951171875
63488,890.719970703125
64512,889.4000244140625
65536,888.8699951171875
66560,888.3699951171875
67584,890.1900024414062
68608,893.6500244140625
69632,895.02001953125
70656,896.8499755859375
71680,898.2100219726562
72704,892.9000244140625
73728,892.4500122070312
74752,896.4199829101562
75776,897.0
76800,895.3300170898438
77824,893.760009765625
78848,895.5700073242188
79872,894.8300170898438
80896,892.3300170898438
81920,890.780029296875
82944,889.8400268554688
83968,896.3200073242188
84992,897.72998046875
86016,901.6599731445312
87040,902.260009765625
88064,902.1599731445312
89088,900.8400268554688
90112,899.1300048828125
91136,895.75
92160,891.4600219726562
93184,897.0499877929688
94208,894.8599853515625
95232,905.219970703125
96256,904.77001953125
97280,897.7999877929688
98304,901.9400024414062
99328,907.25
100352,912.1400146484375
101376,916.0800170898438
102400,919.530029296875
103424,919.3200073242188
104448,922.0700073242188
105472,923.7000122070312
106496,921.9199829101562
107520,922.6500244140625
108544,925.0399780273438
109568,926.8699951171875
110592,933.7999877929688
111616,931.72998046875
112640,940.1799926757812
113664,938.3099975585938
114688,945.7000122070312
115712,942.6099853515625
116736,941.4600219726562
117760,939.8599853515625
118784,934.5700073242188
119808,932.4099731445312
120832,933.7100219726562
121856,929.6099853515625
122880,930.1199951171875
123904,929.4500122070312
124928,923.7000122070312
125952,925.9299926757812
126976,930.4600219726562
128000,930.7999877929688
129024,931.72998046875
130048,930.8400268554688
131072,929.0999755859375
132096,930.030029296875
133120,925.3400268554688
134144,925.489990234375
135168,921.8499755859375
136192,923.0499877929688
137216,919.6799926757812
138240,921.2999877929688
139264,923.6300048828125
140288,927.719970703125
141312,926.7999877929688
142336,933.7999877929688
143360,934.260009765625
144384,936.6699829101562
145408,936.8699951171875
146432,934.72998046875
147456,941.8300170898438
148480,939.6599731445312
149504,939.3200073242188
150528,938.4600219726562
151552,939.52001953125
152576,943.8699951171875
153600,952.6799926757812
154624,954.9000244140625
155648,957.8499755859375
156672,957.030029296875
157696,958.2000122070312
158720,957.8699951171875
159744,958.3499755859375
160768,958.030029296875
161792,956.6199951171875
162816,959.1400146484375
163840,960.1300048828125
164864,956.0700073242188
165888,955.4099731445312
166912,953.25
167936,950.0700073242188
168960,948.02001953125
169984,948.52001953125
171008,947.47998046875
172032,944.3900146484375
173056,944.5900268554688
174080,949.5700073242188
175104,943.5499877929688
176128,943.5
177152,940.6799926757812
178176,940.7100219726562
179200,942.5700073242188
180224,942.5399780273438
181248,941.97998046875
182272,939.9000244140625
183296,939.3900146484375
184320,939.739990234375
185344,938.280029296875
186368,936.760009765625
187392,938.1699829101562
188416,934.9400024414062
189440,942.6699829101562
190464,939.7000122070312
191488,948.5700073242188
192512,949.239990234375
193536,947.3599853515625
194560,947.4500122070312
195584,945.1099853515625
196608,944.510009765625
197632,949.489990234375
198656,943.5599975585938
199680,941.739990234375
200704,937.7899780273438
201728,937.7100219726562
202752,935.969970703125
203776,932.4000244140625
