step,time/fps
1024,1183.0
2048,1063.0
3072,1021.0
4096,1003.0
5120,1006.0
6144,1012.0
7168,1016.0
8192,1010.0
9216,1013.0
10240,1013.0
11264,1009.0
12288,1013.0
13312,1011.0
14336,1011.0
15360,1006.0
16384,1005.0
17408,995.0
18432,983.0
19456,975.0
20480,968.0
21504,961.0
22528,951.0
23552,944.0
24576,941.0
25600,943.0
26624,947.0
27648,949.0
28672,952.0
29696,955.0
30720,958.0
31744,959.0
32768,960.0
33792,961.0
34816,962.0
35840,963.0
36864,964.0
37888,966.0
38912,967.0
39936,966.0
40960,969.0
41984,969.0
43008,971.0
44032,972.0
45056,974.0
46080,973.0
47104,974.0
48128,972.0
49152,970.0
50176,965.0
51200,962.0
52224,959.0
53248,957.0
54272,956.0
55296,956.0
56320,957.0
57344,957.0
58368,958.0
59392,959.0
60416,961.0
61440,960.0
62464,960.0
63488,961.0
64512,962.0
65536,963.0
66560,963.0
67584,963.0
68608,962.0
69632,962.0
70656,963.0
71680,965.0
72704,966.0
73728,968.0
74752,969.0
75776,970.0
76800,971.0
77824,972.0
78848,971.0
79872,969.0
80896,968.0
81920,967.0
82944,968.0
83968,969.0
84992,969.0
86016,969.0
87040,971.0
88064,972.0
89088,973.0
90112,973.0
91136,974.0
92160,975.0
93184,976.0
94208,976.0
95232,977.0
96256,978.0
97280,977.0
98304,977.0
99328,976.0
100352,976.0
101376,976.0
102400,977.0
103424,978.0
104448,978.0
105472,978.0
106496,979.0
107520,979.0
108544,979.0
109568,978.0
110592,977.0
111616,977.0
112640,977.0
113664,978.0
114688,978.0
115712,978.0
116736,978.0
117760,979.0
118784,980.0
119808,981.0
120832,981.0
121856,982.0
122880,982.0
123904,983.0
124928,984.0
125952,983.0
126976,983.0
128000,982.0
129024,981.0
130048,981.0
131072,981.0
132096,981.0
133120,982.0
134144,982.0
135168,983.0
136192,983.0
137216,984.0
138240,984.0
139264,983.0
140288,983.0
141312,983.0
142336,984.0
143360,984.0
144384,984.0
145408,984.0
146432,984.0
147456,984.0
148480,984.0
149504,984.0
150528,984.0
151552,984.0
152576,984.0
153600,985.0
154624,985.0
155648,985.0
156672,985.0
157696,984.0
158720,984.0
159744,984.0
160768,984.0
161792,984.0
162816,984.0
163840,984.0
164864,985.0
165888,985.0
166912,985.0
167936,985.0
168960,985.0
169984,986.0
171008,986.0
172032,986.0
173056,986.0
174080,985.0
175104,985.0
176128,984.0
177152,984.0
178176,985.0
179200,985.0
180224,985.0
181248,986.0
182272,986.0
183296,987.0
184320,987.0
185344,986.0
186368,986.0
187392,986.0
188416,985.0
189440,985.0
190464,985.0
191488,985.0
192512,985.0
193536,985.0
194560,986.0
195584,986.0
196608,986.0
197632,987.0
198656,987.0
199680,987.0
200704,562.0
201728,563.0
202752,564.0
203776,566.0
204800,567.0
205824,568.0
206848,569.0
207872,571.0
208896,572.0
209920,573.0
210944,574.0
211968,576.0
212992,577.0
214016,578.0
215040,579.0
216064,581.0
217088,582.0
218112,583.0
219136,584.0
220160,585.0
221184,586.0
222208,587.0
223232,588.0
224256,588.0
225280,589.0
226304,590.0
227328,592.0
228352,593.0
229376,594.0
230400,595.0
231424,596.0
232448,598.0
233472,599.0
234496,600.0
235520,601.0
236544,602.0
237568,603.0
238592,605.0
239616,606.0
240640,607.0
241664,608.0
242688,609.0
243712,610.0
244736,611.0
245760,612.0
246784,613.0
247808,614.0
248832,615.0
249856,616.0
250880,617.0
251904,618.0
252928,618.0
253952,619.0
254976,620.0
256000,621.0
257024,622.0
258048,623.0
259072,624.0
260096,625.0
261120,626.0
262144,627.0
263168,628.0
264192,629.0
265216,630.0
266240,631.0
267264,632.0
268288,633.0
269312,634.0
270336,635.0
271360,635.0
272384,636.0
273408,637.0
274432,638.0
275456,639.0
276480,639.0
277504,640.0
278528,641.0
279552,642.0
280576,643.0
281600,644.0
282624,644.0
283648,645.0
284672,646.0
285696,647.0
286720,648.0
287744,648.0
288768,649.0
289792,650.0
290816,651.0
291840,652.0
292864,653.0
293888,654.0
294912,655.0
295936,656.0
296960,657.0
297984,657.0
299008,658.0
300032,659.0
301056,660.0
302080,660.0
303104,661.0
304128,662.0
305152,662.0
306176,663.0
307200,664.0
308224,665.0
309248,665.0
310272,666.0
311296,667.0
312320,667.0
313344,668.0
314368,669.0
315392,669.0
316416,670.0
317440,671.0
318464,671.0
319488,672.0
320512,673.0
321536,674.0
322560,674.0
323584,675.0
324608,676.0
325632,677.0
326656,677.0
327680,678.0
328704,678.0
329728,679.0
330752,680.0
331776,680.0
332800,681.0
333824,681.0
334848,682.0
335872,682.0
336896,683.0
337920,684.0
338944,685.0
339968,685.0
340992,686.0
342016,687.0
343040,687.0
344064,688.0
345088,689.0
346112,689.0
347136,690.0
348160,691.0
349184,691.0
350208,692.0
351232,693.0
352256,693.0
353280,694.0
354304,695.0
355328,695.0
356352,696.0
357376,697.0
358400,697.0
359424,698.0
360448,698.0
361472,699.0
362496,699.0
363520,700.0
364544,700.0
365568,701.0
366592,702.0
367616,702.0
368640,703.0
369664,703.0
370688,704.0
371712,705.0
372736,705.0
373760,706.0
374784,706.0
375808,707.0
376832,707.0
377856,708.0
378880,708.0
379904,709.0
380928,709.0
381952,710.0
382976,711.0
384000,711.0
385024,712.0
386048,712.0
387072,713.0
388096,713.0
389120,714.0
390144,714.0
391168,714.0
392192,715.0
393216,715.0
394240,716.0
395264,716.0
396288,717.0
397312,717.0
398336,718.0
399360,718.0
400384,563.0
401408,563.0
402432,564.0
403456,564.0
404480,565.0
405504,566.0
406528,566.0
407552,567.0
