step,train/entropy_loss
2048,-2.888627052307129
3072,-2.8863494396209717
4096,-2.8808467388153076
5120,-2.8796589374542236
6144,-2.8748817443847656
7168,-2.8696448802948
8192,-2.8700225353240967
9216,-2.867770195007324
10240,-2.8666563034057617
11264,-2.85977840423584
12288,-2.858905792236328
13312,-2.847696542739868
14336,-2.842216968536377
15360,-2.8522496223449707
16384,-2.8495936393737793
17408,-2.852149724960327
18432,-2.8523855209350586
19456,-2.8588593006134033
20480,-2.857604503631592
21504,-2.855802536010742
22528,-2.8472890853881836
23552,-2.843339204788208
24576,-2.837416172027588
25600,-2.8306853771209717
26624,-2.8305342197418213
27648,-2.818132162094116
28672,-2.8092150688171387
29696,-2.8091320991516113
30720,-2.7891957759857178
31744,-2.7873058319091797
32768,-2.7973644733428955
33792,-2.791996955871582
34816,-2.7717959880828857
35840,-2.7692315578460693
36864,-2.7781078815460205
37888,-2.7618167400360107
38912,-2.75954532623291
39936,-2.7743823528289795
40960,-2.78061580657959
41984,-2.7734036445617676
43008,-2.7740583419799805
44032,-2.7834551334381104
45056,-2.780311107635498
46080,-2.792043924331665
47104,-2.8016438484191895
48128,-2.807651996612549
49152,-2.8026273250579834
50176,-2.8054511547088623
51200,-2.7818775177001953
52224,-2.7848048210144043
53248,-2.7986557483673096
54272,-2.792633056640625
55296,-2.7825465202331543
56320,-2.785494327545166
57344,-2.7954180240631104
58368,-2.8103432655334473
59392,-2.802708148956299
60416,-2.808145761489868
61440,-2.7993712425231934
62464,-2.8045153617858887
63488,-2.7992911338806152
64512,-2.786864995956421
65536,-2.7851967811584473
66560,-2.7595436573028564
67584,-2.7624318599700928
68608,-2.7718465328216553
69632,-2.7680702209472656
70656,-2.7700037956237793
71680,-2.773499011993408
72704,-2.7540416717529297
73728,-2.7353339195251465
74752,-2.7513926029205322
75776,-2.7504730224609375
76800,-2.7475359439849854
77824,-2.7520437240600586
78848,-2.756340265274048
79872,-2.771261692047119
80896,-2.7241928577423096
81920,-2.723342180252075
82944,-2.7266688346862793
83968,-2.746349811553955
84992,-2.6988556385040283
86016,-2.6989336013793945
87040,-2.7302722930908203
88064,-2.6544816493988037
89088,-2.6613035202026367
90112,-2.6411163806915283
91136,-2.6817469596862793
92160,-2.6679184436798096
93184,-2.669712543487549
94208,-2.653574228286743
95232,-2.63985276222229
96256,-2.647610664367676
97280,-2.626427173614502
98304,-2.6009271144866943
99328,-2.576505661010742
100352,-2.556697368621826
101376,-2.573885202407837
102400,-2.5411949157714844
103424,-2.5695323944091797
104448,-2.5639424324035645
105472,-2.5465948581695557
106496,-2.5867278575897217
107520,-2.6103217601776123
108544,-2.592522144317627
109568,-2.572876214981079
110592,-2.5676286220550537
111616,-2.5515711307525635
112640,-2.556023120880127
113664,-2.4914069175720215
114688,-2.531538724899292
115712,-2.540769100189209
116736,-2.55714750289917
117760,-2.517489194869995
118784,-2.5674800872802734
119808,-2.588602066040039
120832,-2.5454254150390625
121856,-2.5922036170959473
122880,-2.5841681957244873
123904,-2.5835797786712646
124928,-2.556710958480835
125952,-2.5558950901031494
126976,-2.550156354904175
128000,-2.544787645339966
129024,-2.5778255462646484
130048,-2.6141552925109863
131072,-2.6187660694122314
132096,-2.6389660835266113
133120,-2.652975082397461
134144,-2.6279337406158447
135168,-2.6266579627990723
136192,-2.608210802078247
137216,-2.5848500728607178
138240,-2.5880508422851562
139264,-2.6274468898773193
140288,-2.610387086868286
141312,-2.592519998550415
142336,-2.603468418121338
143360,-2.5987563133239746
144384,-2.620217800140381
145408,-2.5735507011413574
146432,-2.581601619720459
147456,-2.5795986652374268
148480,-2.5915911197662354
149504,-2.567648410797119
150528,-2.5477468967437744
151552,-2.50812029838562
152576,-2.542682409286499
153600,-2.5283658504486084
154624,-2.5119292736053467
155648,-2.4905171394348145
156672,-2.474303722381592
157696,-2.4175240993499756
158720,-2.4368577003479004
159744,-2.41833758354187
160768,-2.4207069873809814
161792,-2.376934051513672
162816,-2.3781533241271973
163840,-2.374354839324951
164864,-2.3282973766326904
165888,-2.324117422103882
166912,-2.301473379135132
167936,-2.2748217582702637
168960,-2.3073253631591797
169984,-2.2735841274261475
171008,-2.2321388721466064
172032,-2.2918667793273926
173056,-2.2758395671844482
174080,-2.2338361740112305
175104,-2.184417963027954
176128,-2.196237564086914
177152,-2.2646684646606445
178176,-2.2546534538269043
179200,-2.2454628944396973
180224,-2.2805681228637695
181248,-2.229163646697998
182272,-2.226637363433838
183296,-2.2160778045654297
184320,-2.182668924331665
185344,-2.2050235271453857
186368,-2.23055362701416
187392,-2.2864387035369873
188416,-2.2943544387817383
189440,-2.366701364517212
190464,-2.4303832054138184
191488,-2.4250853061676025
192512,-2.3946120738983154
193536,-2.3963661193847656
194560,-2.4185781478881836
195584,-2.4273464679718018
196608,-2.3638694286346436
197632,-2.3106284141540527
198656,-2.3053271770477295
199680,-2.217724323272705
200000,-2.253692865371704
201728,-2.2056703567504883
202752,-2.200009346008301
203776,-2.2029473781585693
204800,-2.212059497833252
205824,-2.216200351715088
206848,-2.159734010696411
207872,-2.1452078819274902
208896,-2.0583841800689697
209920,-2.0238089561462402
210944,-2.0586507320404053
211968,-2.046149969100952
212992,-2.0860955715179443
214016,-2.197293758392334
215040,-2.2985434532165527
216064,-2.245501756668091
217088,-2.2702295780181885
218112,-2.2848899364471436
219136,-2.299412488937378
220160,-2.2593867778778076
221184,-2.283848285675049
222208,-2.3081414699554443
223232,-2.3260674476623535
224256,-2.3229057788848877
225280,-2.3470633029937744
226304,-2.3785147666931152
227328,-2.4159491062164307
228352,-2.442626476287842
229376,-2.44441556930542
230400,-2.4436147212982178
231424,-2.401401996612549
232448,-2.4762825965881348
233472,-2.491532802581787
234496,-2.530101776123047
235520,-2.5291941165924072
236544,-2.520233631134033
237568,-2.5451385974884033
238592,-2.541266679763794
239616,-2.521576404571533
240640,-2.555431842803955
241664,-2.556959629058838
242688,-2.525374174118042
243712,-2.544752359390259
244736,-2.5444445610046387
245760,-2.5604398250579834
246784,-2.5681087970733643
247808,-2.592118263244629
248832,-2.601356029510498
249856,-2.5754830837249756
250880,-2.5752406120300293
251904,-2.58868145942688
252928,-2.5757293701171875
253952,-2.549207925796509
254976,-2.5662965774536133
256000,-2.5643928050994873
257024,-2.568315267562866
258048,-2.5361595153808594
259072,-2.5132689476013184
260096,-2.497339963912964
261120,-2.48746657371521
262144,-2.490908145904541
263168,-2.5251808166503906
264192,-2.490563154220581
265216,-2.5386624336242676
266240,-2.525172233581543
267264,-2.534769058227539
268288,-2.5382180213928223
269312,-2.5667948722839355
270336,-2.5789122581481934
271360,-2.5760719776153564
272384,-2.5530989170074463
273408,-2.5323524475097656
274432,-2.548780679702759
275456,-2.5215773582458496
276480,-2.5153374671936035
277504,-2.4943881034851074
278528,-2.481348752975464
279552,-2.4649946689605713
280576,-2.5051143169403076
281600,-2.480069160461426
282624,-2.4757442474365234
283648,-2.4876210689544678
284672,-2.447474479675293
285696,-2.4442625045776367
286720,-2.4389595985412598
287744,-2.441502809524536
288768,-2.4218156337738037
289792,-2.4237005710601807
290816,-2.397671937942505
291840,-2.4167895317077637
292864,-2.436366081237793
293888,-2.4432079792022705
294912,-2.463040590286255
295936,-2.53421950340271
296960,-2.5513360500335693
297984,-2.5359296798706055
299008,-2.542451858520508
300032,-2.590291738510132
301056,-2.556349754333496
302080,-2.5280344486236572
303104,-2.522722005844116
304128,-2.5117876529693604
305152,-2.5842645168304443
306176,-2.5825726985931396
307200,-2.5035176277160645
308224,-2.4790003299713135
309248,-2.4945197105407715
310272,-2.4556736946105957
311296,-2.444335699081421
312320,-2.452122688293457
313344,-2.4444475173950195
314368,-2.4399242401123047
315392,-2.4765090942382812
316416,-2.5048232078552246
317440,-2.4771158695220947
318464,-2.465574026107788
319488,-2.4668383598327637
320512,-2.439063549041748
321536,-2.4188199043273926
322560,-2.3970515727996826
323584,-2.42645525932312
324608,-2.41070818901062
325632,-2.431605815887451
326656,-2.398200511932373
327680,-2.4457926750183105
328704,-2.4596662521362305
329728,-2.4402103424072266
330752,-2.4476637840270996
331776,-2.4506688117980957
332800,-2.4509265422821045
333824,-2.4587252140045166
334848,-2.44266414642334
335872,-2.4736156463623047
336896,-2.4517083168029785
337920,-2.50223445892334
338944,-2.553842067718506
339968,-2.499723434448242
340992,-2.5003061294555664
342016,-2.469322681427002
343040,-2.4692301750183105
344064,-2.448194980621338
345088,-2.4709103107452393
346112,-2.436951160430908
347136,-2.440150260925293
348160,-2.399108648300171
349184,-2.4540419578552246
350208,-2.4699325561523438
351232,-2.458658218383789
352256,-2.4650754928588867
353280,-2.436981678009033
354304,-2.4279420375823975
355328,-2.4164443016052246
356352,-2.4174842834472656
357376,-2.3876192569732666
358400,-2.364882469177246
359424,-2.3256375789642334
360448,-2.3577356338500977
361472,-2.3379015922546387
362496,-2.3129992485046387
363520,-2.308176040649414
364544,-2.3424363136291504
365568,-2.373161554336548
366592,-2.353468179702759
367616,-2.3310446739196777
368640,-2.358123540878296
369664,-2.3431460857391357
370688,-2.3280539512634277
371712,-2.3279969692230225
372736,-2.370880603790283
373760,-2.3561410903930664
374784,-2.3439507484436035
375808,-2.344557046890259
376832,-2.333906650543213
377856,-2.313321590423584
378880,-2.2637336254119873
379904,-2.30977463722229
380928,-2.300757884979248
381952,-2.3185629844665527
382976,-2.333836793899536
384000,-2.392526388168335
385024,-2.433574676513672
386048,-2.4276671409606934
387072,-2.433042049407959
388096,-2.4158108234405518
389120,-2.400850772857666
390144,-2.4063827991485596
391168,-2.387979507446289
392192,-2.3820672035217285
393216,-2.3969032764434814
394240,-2.3971216678619385
395264,-2.382240056991577
396288,-2.350531578063965
397312,-2.4303336143493652
398336,-2.4168736934661865
399360,-2.388788938522339
400000,-2.380730628967285
401408,-2.3550262451171875
402432,-2.407012462615967
403456,-2.4269895553588867
404480,-2.4265027046203613
405504,-2.4150445461273193
406528,-2.359945058822632
407552,-2.4034805297851562
408576,-2.387014865875244
409600,-2.3756062984466553
410624,-2.3567521572113037
411648,-2.3769309520721436
412672,-2.3781485557556152
413696,-2.3160037994384766
414720,-2.3183465003967285
415744,-2.3226237297058105
416768,-2.3077893257141113
417792,-2.3078629970550537
418816,-2.318878650665283
419840,-2.304280996322632
420864,-2.281374454498291
421888,-2.2587475776672363
422912,-2.256596088409424
423936,-2.2683393955230713
424960,-2.2551488876342773
425984,-2.279836654663086
427008,-2.2786712646484375
428032,-2.2119719982147217
429056,-2.186037302017212
430080,-2.1848061084747314
431104,-2.1237902641296387
432128,-2.080855369567871
433152,-2.0623996257781982
434176,-2.1444008350372314
435200,-2.1703946590423584
436224,-2.083179235458374
437248,-2.1718122959136963
438272,-2.1686880588531494
439296,-2.1626479625701904
440320,-2.132774591445923
441344,-2.1177303791046143
442368,-2.036160469055176
443392,-2.125903606414795
444416,-2.111069679260254
445440,-2.152360200881958
446464,-2.153926372528076
447488,-2.160490036010742
448512,-2.1190061569213867
449536,-2.0741426944732666
450560,-2.068605899810791
451584,-2.049210548400879
452608,-2.017953395843506
453632,-2.065711498260498
454656,-2.090601682662964
455680,-2.0405571460723877
456704,-2.014024019241333
457728,-1.9349285364151
458752,-1.9979963302612305
459776,-2.016376495361328
460800,-1.8889483213424683
461824,-1.9389194250106812
462848,-1.9840590953826904
463872,-1.95452082157135
464896,-1.9816243648529053
465920,-1.889562964439392
466944,-1.9583371877670288
467968,-1.9204857349395752
468992,-1.9944814443588257
470016,-1.963461995124817
471040,-2.017216205596924
472064,-2.017117977142334
473088,-2.018923044204712
474112,-2.061460018157959
475136,-2.0579066276550293
476160,-2.0061182975769043
477184,-2.0167925357818604
478208,-2.0227367877960205
479232,-2.0319998264312744
480256,-2.0589418411254883
481280,-2.0850768089294434
482304,-2.1409332752227783
483328,-2.038386344909668
484352,-2.0873465538024902
485376,-2.0801541805267334
486400,-2.131748914718628
487424,-2.2011632919311523
488448,-2.2520477771759033
489472,-2.3190269470214844
490496,-2.1195573806762695
491520,-2.110860586166382
492544,-2.0403499603271484
493568,-2.017286777496338
494592,-2.0598225593566895
495616,-2.040616512298584
496640,-2.0220704078674316
497664,-1.9925251007080078
498688,-2.0638587474823
499712,-2.2030341625213623
500736,-2.2631587982177734
501760,-2.2420899868011475
502784,-2.2767441272735596
503808,-2.240602970123291
504832,-2.2564964294433594
505856,-2.285942792892456
506880,-2.278923749923706
507904,-2.294374704360962
508928,-2.3010921478271484
509952,-2.2431368827819824
510976,-2.308382987976074
512000,-2.362718343734741
513024,-2.417165756225586
514048,-2.465080499649048
515072,-2.420999050140381
516096,-2.4118971824645996
517120,-2.4694085121154785
518144,-2.4515621662139893
519168,-2.471059560775757
520192,-2.497296094894409
521216,-2.500267744064331
522240,-2.491654872894287
523264,-2.3615949153900146
524288,-2.384269952774048
525312,-2.394569158554077
526336,-2.3768415451049805
527360,-2.3508307933807373
528384,-2.4064178466796875
529408,-2.3419837951660156
530432,-2.3441410064697266
531456,-2.3099892139434814
532480,-2.271322250366211
533504,-2.294041872024536
534528,-2.258133888244629
535552,-2.208616256713867
536576,-2.222612142562866
537600,-2.191023349761963
538624,-2.282862663269043
539648,-2.2907023429870605
