step,train/entropy_loss
2048,-2.8895435333251953
3072,-2.888270616531372
4096,-2.888460874557495
5120,-2.884016513824463
6144,-2.8797945976257324
7168,-2.8744778633117676
8192,-2.8686294555664062
9216,-2.8577966690063477
10240,-2.8629884719848633
11264,-2.8636507987976074
12288,-2.864717721939087
13312,-2.848552703857422
14336,-2.85109806060791
15360,-2.8528800010681152
16384,-2.855809450149536
17408,-2.8310372829437256
18432,-2.830820322036743
19456,-2.845233201980591
20480,-2.83259916305542
21504,-2.8390681743621826
22528,-2.821331024169922
23552,-2.7989845275878906
24576,-2.793541193008423
25600,-2.8102338314056396
26624,-2.8219265937805176
27648,-2.7630956172943115
28672,-2.7957584857940674
29696,-2.8020386695861816
30720,-2.783142328262329
31744,-2.7386035919189453
32768,-2.7527856826782227
33792,-2.743457317352295
34816,-2.730736255645752
35840,-2.764887809753418
36864,-2.753708839416504
37888,-2.728212833404541
38912,-2.7362253665924072
39936,-2.740144968032837
40960,-2.6676814556121826
41984,-2.6359331607818604
43008,-2.624717950820923
44032,-2.686636209487915
45056,-2.6686465740203857
46080,-2.693265676498413
47104,-2.711284875869751
48128,-2.7044804096221924
49152,-2.7141494750976562
50176,-2.745405912399292
51200,-2.750551462173462
52224,-2.722119092941284
53248,-2.746814489364624
54272,-2.736792802810669
55296,-2.7406179904937744
56320,-2.7624340057373047
57344,-2.7772440910339355
58368,-2.726173162460327
59392,-2.743072509765625
60416,-2.755662679672241
61440,-2.7482335567474365
62464,-2.7212677001953125
63488,-2.7432572841644287
64512,-2.7125189304351807
65536,-2.7042737007141113
66560,-2.664273977279663
67584,-2.7096636295318604
68608,-2.7061607837677
69632,-2.697453737258911
70656,-2.681203842163086
71680,-2.6893553733825684
72704,-2.6897308826446533
73728,-2.6601693630218506
74752,-2.648491382598877
75776,-2.6605634689331055
76800,-2.620147228240967
77824,-2.6051361560821533
78848,-2.6218974590301514
79872,-2.5906786918640137
80896,-2.573192596435547
81920,-2.5805084705352783
82944,-2.5288662910461426
83968,-2.494443893432617
84992,-2.558042049407959
86016,-2.6038575172424316
87040,-2.550841808319092
88064,-2.5525448322296143
89088,-2.577305793762207
90112,-2.5365025997161865
91136,-2.639066457748413
92160,-2.721148729324341
93184,-2.678468942642212
94208,-2.6328494548797607
95232,-2.606661081314087
96256,-2.65743088722229
97280,-2.619060754776001
98304,-2.6263556480407715
99328,-2.6520533561706543
100352,-2.6971435546875
101376,-2.694582462310791
102400,-2.7027931213378906
103424,-2.687419891357422
104448,-2.671774387359619
105472,-2.6537556648254395
106496,-2.6421091556549072
107520,-2.615945816040039
108544,-2.6297593116760254
109568,-2.655158758163452
110592,-2.6629137992858887
111616,-2.6387863159179688
112640,-2.7103042602539062
113664,-2.729172706604004
114688,-2.7236359119415283
115712,-2.675110340118408
116736,-2.654341220855713
117760,-2.6699304580688477
118784,-2.6235365867614746
119808,-2.5441277027130127
120832,-2.60359263420105
121856,-2.4299120903015137
122880,-2.377925157546997
123904,-2.3280415534973145
124928,-2.337434768676758
125952,-2.3055520057678223
126976,-2.378878355026245
128000,-2.403230667114258
129024,-2.3368942737579346
130048,-2.287614345550537
131072,-2.3426530361175537
132096,-2.4273529052734375
133120,-2.406151294708252
134144,-2.367173910140991
135168,-2.235779285430908
136192,-2.2901923656463623
137216,-2.216181516647339
138240,-2.111729860305786
139264,-2.1168413162231445
140288,-2.1209616661071777
141312,-2.0159237384796143
142336,-2.0385847091674805
143360,-2.0650057792663574
144384,-2.0160911083221436
145408,-2.1005373001098633
146432,-2.151824474334717
147456,-2.204202175140381
148480,-2.2044219970703125
149504,-2.16552996635437
150528,-2.162717819213867
151552,-2.249281167984009
152576,-2.2765581607818604
153600,-2.3026444911956787
154624,-2.367429256439209
155648,-2.350231885910034
156672,-2.417603015899658
157696,-2.3452112674713135
158720,-2.266510009765625
159744,-2.281346559524536
160768,-2.3191821575164795
161792,-2.3485677242279053
162816,-2.368445873260498
163840,-2.3606414794921875
164864,-2.384242057800293
165888,-2.3498072624206543
166912,-2.3205697536468506
167936,-2.368163824081421
168960,-2.3870294094085693
169984,-2.3485968112945557
171008,-2.438913583755493
172032,-2.3824963569641113
173056,-2.404975175857544
174080,-2.3553102016448975
175104,-2.3146893978118896
176128,-2.4701404571533203
177152,-2.494436025619507
178176,-2.4947664737701416
179200,-2.4551103115081787
180224,-2.446331024169922
181248,-2.4410617351531982
182272,-2.479430675506592
183296,-2.4352188110351562
184320,-2.4614243507385254
185344,-2.3933913707733154
186368,-2.434541702270508
187392,-2.524024724960327
188416,-2.5918376445770264
189440,-2.4926185607910156
190464,-2.50728178024292
191488,-2.503955602645874
192512,-2.4788763523101807
193536,-2.408914566040039
194560,-2.423959970474243
195584,-2.49586820602417
196608,-2.5133635997772217
197632,-2.54365873336792
198656,-2.5521364212036133
199680,-2.5462875366210938
200000,-2.449303150177002
201728,-2.41778302192688
202752,-2.428640842437744
203776,-2.4424991607666016
204800,-2.4676108360290527
205824,-2.469998836517334
206848,-2.499267816543579
207872,-2.46472430229187
208896,-2.4444124698638916
209920,-2.4665985107421875
210944,-2.4925193786621094
211968,-2.437744617462158
212992,-2.461587905883789
214016,-2.5000550746917725
215040,-2.5330803394317627
216064,-2.5582520961761475
217088,-2.5601863861083984
218112,-2.5607688426971436
219136,-2.4905171394348145
220160,-2.515824794769287
221184,-2.5227510929107666
222208,-2.521394729614258
223232,-2.459892749786377
224256,-2.395932912826538
225280,-2.412588119506836
226304,-2.335867404937744
227328,-2.3761942386627197
228352,-2.324770927429199
229376,-2.338050127029419
230400,-2.350600004196167
231424,-2.2722694873809814
232448,-2.2904863357543945
233472,-2.215137481689453
234496,-2.1907646656036377
235520,-2.1928234100341797
236544,-2.254727602005005
237568,-2.248721122741699
238592,-2.3257296085357666
239616,-2.3266282081604004
240640,-2.2164664268493652
241664,-2.187750816345215
242688,-2.211448907852173
243712,-2.22537899017334
244736,-2.1957387924194336
245760,-2.2585625648498535
246784,-2.2196054458618164
247808,-2.2170352935791016
248832,-2.2070200443267822
249856,-2.21256422996521
250880,-2.208153009414673
251904,-1.9971482753753662
252928,-1.9887363910675049
253952,-1.977384328842163
254976,-2.0329911708831787
256000,-1.9085832834243774
257024,-1.9707714319229126
258048,-1.888241171836853
259072,-1.8856600522994995
260096,-1.850659966468811
261120,-1.865343451499939
262144,-1.7105705738067627
263168,-1.6031990051269531
264192,-1.6353561878204346
265216,-1.5668402910232544
266240,-1.5373339653015137
267264,-1.5099653005599976
268288,-1.4081072807312012
269312,-1.4404866695404053
270336,-1.5876080989837646
271360,-1.581647276878357
272384,-1.599001407623291
273408,-1.5675395727157593
274432,-1.5663539171218872
275456,-1.5308330059051514
276480,-1.591591715812683
277504,-1.6358370780944824
278528,-1.6945527791976929
279552,-1.6673829555511475
280576,-1.493455410003662
281600,-1.6233633756637573
282624,-1.556567668914795
283648,-1.5901107788085938
284672,-1.590416431427002
285696,-1.5375956296920776
286720,-1.5404897928237915
287744,-1.5782456398010254
288768,-1.6041579246520996
289792,-1.6182169914245605
290816,-1.6194056272506714
291840,-1.6635338068008423
292864,-1.6946687698364258
293888,-1.6767122745513916
294912,-1.6440527439117432
295936,-1.6405736207962036
296960,-1.6742651462554932
297984,-1.6257069110870361
299008,-1.6950390338897705
300032,-1.6898843050003052
301056,-1.654862642288208
302080,-1.6817783117294312
303104,-1.6664921045303345
304128,-1.686685562133789
305152,-1.5960272550582886
306176,-1.5917484760284424
307200,-1.5539202690124512
308224,-1.4989690780639648
309248,-1.5601810216903687
310272,-1.5593748092651367
311296,-1.5011869668960571
312320,-1.3732677698135376
313344,-1.40242600440979
314368,-1.4677610397338867
315392,-1.4208368062973022
316416,-1.4532101154327393
317440,-1.4713222980499268
318464,-1.4803025722503662
319488,-1.5123728513717651
320512,-1.5400679111480713
