,step,value,seed,curve_id
126,5.149696,0.264849577369684,8,Asterix
127,5.37088,0.270393932451497,8,Asterix
128,5.564416,0.274338954336633,8,Asterix
129,5.76512,0.275458487574307,8,Asterix
130,5.95456,0.281855820361014,8,Asterix
131,6.15424,0.273645909951407,8,Asterix
132,6.341632,0.275831665320198,8,Asterix
133,6.56896,0.274872065402192,8,Asterix
134,6.770688,0.274498887656301,8,Asterix
135,6.985728,0.28516110896748,8,Asterix
136,7.169024,0.290065730770622,8,Asterix
137,7.370752,0.297529285688447,8,Asterix
138,7.575552,0.292144863926302,8,Asterix
139,7.769088,0.290812086262405,8,Asterix
140,7.981056,0.288519708680501,8,Asterix
141,8.182784,0.285854153352706,8,Asterix
142,8.38656,0.292518041672193,8,Asterix
143,8.587264,0.296676307983553,8,Asterix
144,8.792064,0.299715041057239,8,Asterix
145,8.997888,0.302753774130925,8,Asterix
146,9.198592,0.3093110402373,8,Asterix
147,9.396224,0.309364351343856,8,Asterix
148,9.59488,0.318213995032134,8,Asterix
149,9.775104,0.320986172573041,8,Asterix
150,9.957376,0.320772928146817,8,Asterix
151,10.145792,0.324984505564733,8,Asterix
152,10.349568,0.317520950646908,8,Asterix
153,10.545152,0.319546772696032,8,Asterix
154,10.768384,0.316721284048569,8,Asterix
155,10.953728,0.317201084007572,8,Asterix
156,11.1616,0.323491794581168,8,Asterix
157,11.360256,0.321146105892709,8,Asterix
158,11.556864,0.329942438474431,8,Asterix
159,11.76576,0.328289794171198,8,Asterix
160,11.984896,0.321892461384491,8,Asterix
161,12.184576,0.325197749990957,8,Asterix
162,12.363776,0.321039483679597,8,Asterix
163,12.567552,0.313256062122436,8,Asterix
164,12.755968,0.321146105892709,8,Asterix
165,12.950528,0.326477216548298,8,Asterix
166,13.174784,0.328876216343313,8,Asterix
167,13.39392,0.333994082572679,8,Asterix
168,13.581312,0.334953682490685,8,Asterix
169,13.785088,0.333034482654673,8,Asterix
170,13.98272,0.330688793966214,8,Asterix
171,14.168064,0.329462638515428,8,Asterix
172,14.38208,0.326050727695851,8,Asterix
173,14.580736,0.322052394704159,8,Asterix
174,14.782464,0.320239817081258,8,Asterix
175,14.963712,0.321412661425488,8,Asterix
176,15.173632,0.327969927531863,8,Asterix
177,15.381504,0.331861638310443,8,Asterix
178,15.593472,0.337246060072589,8,Asterix
179,15.792128,0.345882459334644,8,Asterix
180,15.98976,0.33969837097416,8,Asterix
181,16.206848,0.341404326383948,8,Asterix
182,16.411648,0.337885793351259,8,Asterix
183,16.585728,0.331275216138329,8,Asterix
184,16.797696,0.329995749580987,8,Asterix
185,16.990208,0.332714616015338,8,Asterix
186,17.195008,0.339378504334825,8,Asterix
187,17.385472,0.342257304088843,8,Asterix
188,17.584128,0.3477483480641,8,Asterix
189,17.815552,0.345296037162529,8,Asterix
190,18.018304,0.340711281998722,8,Asterix
191,18.2016,0.343483459539628,8,Asterix
192,18.40128,0.339111948802045,8,Asterix
193,18.594816,0.334527193638238,8,Asterix
194,18.786304,0.335700037982468,8,Asterix
195,18.988032,0.336659637900474,8,Asterix
196,19.171328,0.339218571015157,8,Asterix
197,19.356672,0.341884126342952,8,Asterix
198,19.554304,0.345455970482196,8,Asterix
199,19.78368,0.338685459949598,8,Asterix
200,0.004096,0.0201059011845935,16,Asterix
201,0.22528,0.0246601937886119,16,Asterix
202,0.418816,0.0296612836182698,16,Asterix
203,0.63488,0.0411714055410449,16,Asterix
204,0.841728,0.0598683726622695,16,Asterix
205,1.016832,0.0814593708174068,16,Asterix
206,1.21344,0.107954990775686,16,Asterix
207,1.405952,0.125121167086684,16,Asterix
208,1.598464,0.14063469909445,16,Asterix
209,1.772544,0.154868764544874,16,Asterix
210,1.965056,0.160306497413575,16,Asterix
211,2.164736,0.166543896880614,16,Asterix
212,2.371584,0.16984918548708,16,Asterix
213,2.576384,0.172727985241098,16,Asterix
214,2.809856,0.175446851675449,16,Asterix
215,3.021824,0.182377295527715,16,Asterix
216,3.232768,0.19191998360122,16,Asterix
217,3.436544,0.19607824991258,16,Asterix
218,3.623936,0.207753382248321,16,Asterix
219,3.8144,0.212924559584243,16,Asterix
220,4.009984,0.216976203682491,16,Asterix
221,4.182016,0.224226514174092,16,Asterix
222,4.36736,0.22945100261657,16,Asterix
223,4.576256,0.235048668804939,16,Asterix
224,4.789248,0.244964534624335,16,Asterix
225,4.965376,0.24880293429636,16,Asterix
226,5.149696,0.251095311878263,16,Asterix
227,5.37088,0.251255245197931,16,Asterix
228,5.564416,0.24853637876358,16,Asterix
229,5.76512,0.252108222902825,16,Asterix
230,5.95456,0.251948289583158,16,Asterix
231,6.15424,0.256906222492856,16,Asterix
232,6.341632,0.25775920019775,16,Asterix
233,6.56896,0.259998266673098,16,Asterix
234,6.770688,0.262557199787781,16,Asterix
235,6.985728,0.262663822000892,16,Asterix
236,7.169024,0.267301888271255,16,Asterix
237,7.370752,0.270927043517056,16,Asterix
238,7.575552,0.27385915437763,16,Asterix
239,7.769088,0.2726863100334,16,Asterix
240,7.981056,0.267195266058143,16,Asterix
241,8.182784,0.260691311058324,16,Asterix
242,8.38656,0.25775920019775,16,Asterix
243,8.587264,0.26165091097633,16,Asterix
244,8.792064,0.263463488599231,16,Asterix
245,8.997888,0.269167777000711,16,Asterix
246,9.198592,0.269914132492494,16,Asterix
247,9.396224,0.271993265648174,16,Asterix
248,9.59488,0.27503199872186,16,Asterix
249,9.775104,0.271406843476059,16,Asterix
250,9.957376,0.275191932041527,16,Asterix
251,10.145792,0.273752532164518,16,Asterix
252,10.349568,0.276897887451316,16,Asterix
253,10.545152,0.279243576139775,16,Asterix
254,10.768384,0.27982999831189,16,Asterix
255,10.953728,0.281535953721679,16,Asterix
256,11.1616,0.279083642820108,16,Asterix
257,11.360256,0.274925376508748,16,Asterix
258,11.556864,0.275778354213642,16,Asterix
259,11.76576,0.277644242943099,16,Asterix
260,11.984896,0.276897887451316,16,Asterix
261,12.184576,0.285747531139595,16,Asterix
262,12.363776,0.284734620115033,16,Asterix
263,12.567552,0.283241909131468,16,Asterix
264,12.755968,0.286813753270712,16,Asterix
265,12.950528,0.282708798065909,16,Asterix
266,13.174784,0.282922042492132,16,Asterix
267,13.39392,0.288786264213281,16,Asterix
268,13.581312,0.292837908311529,16,Asterix
269,13.785088,0.294650485934429,16,Asterix
270,13.98272,0.297422663475335,16,Asterix
271,14.168064,0.294703797040985,16,Asterix
272,14.38208,0.286867064377268,16,Asterix
273,14.580736,0.286493886631377,16,Asterix
274,14.782464,0.285907464459262,16,Asterix
275,14.963712,0.284414753475697,16,Asterix
276,15.173632,0.289799175237843,16,Asterix
277,15.381504,0.291611752860743,16,Asterix
278,15.593472,0.288306464254278,16,Asterix
279,15.792128,0.288519708680501,16,Asterix
280,15.98976,0.288679642000169,16,Asterix
281,16.206848,0.290918708475516,16,Asterix
282,16.411648,0.293744197122979,16,Asterix
283,16.585728,0.294917041467208,16,Asterix
284,16.797696,0.293104463844308,16,Asterix
285,16.990208,0.290918708475516,16,Asterix
286,17.195008,0.292198175032858,16,Asterix
287,17.385472,0.293424330483643,16,Asterix
288,17.584128,0.297849152327783,16,Asterix
289,17.815552,0.298595507819565,16,Asterix
290,18.018304,0.300674640975245,16,Asterix
291,18.2016,0.296729619090109,16,Asterix
292,18.40128,0.291451819541075,16,Asterix
293,18.594816,0.293157774950864,16,Asterix
294,18.786304,0.291398508434519,16,Asterix
295,18.988032,0.293264397163976,16,Asterix
296,19.171328,0.296676307983553,16,Asterix
297,19.356672,0.293637574909867,16,Asterix
298,19.554304,0.291291886221408,16,Asterix
299,19.78368,0.294810419254097,16,Asterix
300,0.01536,0.00322580645161295,16,Tennis
301,0.234496,-0.000118021811208372,16,Tennis
302,0.428032,0.0120053116993239,16,Tennis
303,0.643072,0.0373910657821163,16,Tennis
304,0.84992,0.0798257889286165,16,Tennis
305,1.027072,0.144085348806074,16,Tennis
306,1.222656,0.212925591007356,16,Tennis
307,1.415168,0.275667547410534,16,Tennis
308,1.60768,0.326781199055333,16,Tennis
309,1.782784,0.34064516252087,16,Tennis
310,1.973248,0.300161287861486,16,Tennis
311,2.174976,0.251129015030399,16,Tennis
312,2.381824,0.20258065500567,16,Tennis
313,2.5856,0.179193576689689,16,Tennis
314,2.817024,0.211451641205818,16,Tennis
315,3.03104,0.253871013272193,16,Tennis
316,3.243008,0.308064540739982,16,Tennis
317,3.444736,0.369677439043599,16,Tennis
318,3.633152,0.439516147490471,16,Tennis
319,3.82464,0.519354854091521,16,Tennis
320,4.0192,0.612580671618062,16,Tennis
321,4.192256,0.717096793267035,16,Tennis
322,4.3776,0.812580665465324,16,Tennis
323,4.584448,0.904516146259923,16,Tennis
324,4.799488,0.99274194932753,16,Tennis
325,4.974592,1.06354839878698,16,Tennis
326,5.158912,1.13500000123055,16,Tennis
327,5.379072,1.20677419170257,16,Tennis
328,5.572608,1.26161289907271,16,Tennis
329,5.771264,1.3214516093654,16,Tennis
330,5.962752,1.37387096804957,16,Tennis
331,6.163456,1.41241935491562,16,Tennis
332,6.350848,1.44661290434099,16,Tennis
333,6.577152,1.46790322584491,16,Tennis
334,6.777856,1.48258064466138,16,Tennis
335,6.992896,1.4898387099466,16,Tennis
336,7.174144,1.49612903229652,16,Tennis
337,7.378944,1.50290322611409,16,Tennis
338,7.581696,1.50838709665883,16,Tennis
339,7.774208,1.51387096768425,16,Tennis
340,7.989248,1.5172580643527,16,Tennis
341,8.190976,1.51870967707326,16,Tennis
342,8.393728,1.52016129027451,16,Tennis
343,8.595456,1.52209677422239,16,Tennis
344,8.79616,1.5235483871833,16,Tennis
345,9.003008,1.52532258084224,16,Tennis
346,9.204736,1.52677419368298,16,Tennis
347,9.402368,1.52612903228691,16,Tennis
348,9.598976,1.52564516129994,16,Tennis
349,9.778176,1.525483871011,16,Tennis
350,9.961472,1.52564516129994,16,Tennis
351,10.151936,1.52709677426084,16,Tennis
352,10.355712,1.52806451623478,16,Tennis
353,10.551296,1.52838709681265,16,Tennis
354,10.775552,1.52838709681265,16,Tennis
355,10.954752,1.52838709681265,16,Tennis
356,11.163648,1.52838709681265,16,Tennis
357,11.3664,1.52838709681265,16,Tennis
358,11.564032,1.52854838710158,16,Tennis
359,11.767808,1.52516129043314,16,Tennis
360,11.983872,1.52177419376469,16,Tennis
361,12.19072,1.51967741964806,16,Tennis
362,12.370944,1.51741935524248,16,Tennis
363,12.571648,1.51903225837215,16,Tennis
364,12.762112,1.52064516150182,16,Tennis
365,12.952576,1.52096774207969,16,Tennis
366,13.180928,1.52129032265755,16,Tennis
367,13.401088,1.52129032265755,16,Tennis
368,13.587456,1.52129032265755,16,Tennis
369,13.784064,1.52129032265755,16,Tennis
370,13.988864,1.52129032265755,16,Tennis
371,14.171136,1.52129032265755,16,Tennis
372,14.3872,1.5248387097351,16,Tennis
373,14.585856,1.52838709681265,16,Tennis
374,14.78656,1.5319354838902,16,Tennis
375,14.969856,1.53548387096774,16,Tennis
376,15.178752,1.53548387096774,16,Tennis
377,15.3856,1.53548387096774,16,Tennis
378,15.60064,1.53548387096774,16,Tennis
379,15.798272,1.53548387096774,16,Tennis
380,15.996928,1.53548387096774,16,Tennis
381,16.210944,1.53548387096774,16,Tennis
382,16.41984,1.53435483870487,16,Tennis
383,16.590848,1.533225806442,16,Tennis
384,16.805888,1.53209677417913,16,Tennis
385,16.995328,1.53096774191626,16,Tennis
386,17.200128,1.53096774191626,16,Tennis
387,17.390592,1.53096774191626,16,Tennis
388,17.590272,1.53096774191626,16,Tennis
389,17.82272,1.53096774191626,16,Tennis
390,18.021376,1.53096774191626,16,Tennis
391,18.203648,1.53096774191626,16,Tennis
392,18.408448,1.53096774191626,16,Tennis
393,18.596864,1.53096774191626,16,Tennis
394,18.787328,1.53096774191626,16,Tennis
395,18.99008,1.53096774191626,16,Tennis
396,19.1744,1.53209677417913,16,Tennis
397,19.360768,1.533225806442,16,Tennis
398,19.555328,1.53435483870487,16,Tennis
399,19.781632,1.53548387096774,16,Tennis
400,0.01536,-0.00483870967741931,8,Tennis
401,0.234496,-0.0045377792850617,8,Tennis
402,0.428032,0.0211003703455772,8,Tennis
403,0.643072,0.047850565756521,8,Tennis
404,0.84992,0.0977699095203031,8,Tennis
405,1.027072,0.161087177645776,8,Tennis
406,1.222656,0.231218817926222,8,Tennis
407,1.415168,0.305806424540858,8,Tennis
408,1.60768,0.379193539773264,8,Tennis
409,1.782784,0.460806449767082,8,Tennis
410,1.973248,0.539516129032258,8,Tennis
411,2.174976,0.626290324426466,8,Tennis
412,2.381824,0.726774188010923,8,Tennis
413,2.5856,0.818870962819745,8,Tennis
414,2.817024,0.917258058055755,8,Tennis
415,3.03104,1.01129032258065,8,Tennis
416,3.243008,1.09048386850665,8,Tennis
417,3.444736,1.16354838801968,8,Tennis
418,3.633152,1.21387096681902,8,Tennis
419,3.82464,1.24435483563331,8,Tennis
420,4.0192,1.26822580752834,8,Tennis
421,4.192256,1.29016128970731,8,Tennis
422,4.3776,1.31854838632768,8,Tennis
423,4.584448,1.34112903302716,8,Tennis
424,4.799488,1.35290322303772,8,Tennis
425,4.974592,1.35677419093347,8,Tennis
426,5.158912,1.34774193379187,8,Tennis
427,5.379072,1.34258064454602,8,Tennis
