step,train/learning_rate
2048,0.0002499744005035609
3072,0.000249948789132759
4096,0.0002499232068657875
5120,0.0002498975954949856
6144,0.0002498720132280141
7168,0.0002498464018572122
8192,0.00024982079048641026
9216,0.0002497952082194388
10240,0.00024976959684863687
11264,0.00024974398547783494
12288,0.00024971840321086347
13312,0.00024969279184006155
14336,0.0002496672095730901
15360,0.00024964159820228815
16384,0.0002496159868314862
17408,0.00024959040456451476
18432,0.00024956479319371283
19456,0.00024953921092674136
20480,0.00024951359955593944
21504,0.0002494879881851375
22528,0.00024946240591816604
23552,0.0002494367945473641
24576,0.00024941121228039265
25600,0.0002493856009095907
26624,0.0002493599895387888
27648,0.0002493344072718173
28672,0.0002493087959010154
29696,0.00024928321363404393
30720,0.000249257602263242
31744,0.0002492319908924401
32768,0.0002492064086254686
33792,0.0002491807972546667
34816,0.00024915518588386476
35840,0.0002491296036168933
36864,0.00024910399224609137
37888,0.0002490784099791199
38912,0.00024905279860831797
39936,0.00024902718723751605
40960,0.0002490016049705446
41984,0.00024897599359974265
43008,0.0002489504113327712
44032,0.00024892479996196926
45056,0.00024889918859116733
46080,0.00024887360632419586
47104,0.00024884799495339394
48128,0.00024882241268642247
49152,0.00024879680131562054
50176,0.0002487711899448186
51200,0.00024874560767784715
52224,0.0002487199963070452
53248,0.00024869441404007375
54272,0.0002486688026692718
55296,0.0002486431912984699
56320,0.00024861760903149843
57344,0.0002485919976606965
58368,0.0002485663862898946
59392,0.0002485408040229231
60416,0.0002485151926521212
61440,0.0002484896103851497
62464,0.0002484639990143478
63488,0.00024843838764354587
64512,0.0002484128053765744
65536,0.00024838719400577247
66560,0.000248361611738801
67584,0.0002483360003679991
68608,0.00024831038899719715
69632,0.0002482848067302257
70656,0.00024825919535942376
71680,0.0002482336130924523
72704,0.00024820800172165036
73728,0.00024818239035084844
74752,0.00024815680808387697
75776,0.00024813119671307504
76800,0.00024810561444610357
77824,0.00024808000307530165
78848,0.0002480543917044997
79872,0.00024802880943752825
80896,0.0002480031980667263
81920,0.0002479775866959244
82944,0.00024795200442895293
83968,0.000247926393058151
84992,0.00024790081079117954
86016,0.0002478751994203776
87040,0.0002478495880495757
88064,0.0002478240057826042
89088,0.0002477983944118023
90112,0.0002477728121448308
91136,0.0002477472007740289
92160,0.00024772158940322697
93184,0.0002476960071362555
94208,0.0002476703957654536
95232,0.0002476448134984821
96256,0.0002476192021276802
97280,0.00024759359075687826
98304,0.0002475680084899068
99328,0.00024754239711910486
100352,0.00024751678574830294
101376,0.00024749120348133147
102400,0.00024746559211052954
103424,0.0002474400098435581
104448,0.00024741439847275615
105472,0.0002473887871019542
106496,0.00024736320483498275
107520,0.00024733759346418083
108544,0.00024731201119720936
109568,0.00024728639982640743
110592,0.0002472607884556055
111616,0.00024723520618863404
112640,0.0002472095948178321
113664,0.00024718401255086064
114688,0.0002471584011800587
115712,0.0002471327898092568
116736,0.0002471072075422853
117760,0.0002470815961714834
118784,0.00024705601390451193
119808,0.00024703040253371
