step,rollout/return
2048,-20.5
3072,-20.55555534362793
4096,-20.6875
5120,-20.700000762939453
6144,-20.58333396911621
7168,-20.586206436157227
8192,-20.636363983154297
9216,-20.64102554321289
10240,-20.613636016845703
11264,-20.60416603088379
12288,-20.61111068725586
13312,-20.589284896850586
14336,-20.5238094329834
15360,-20.571428298950195
16384,-20.577465057373047
17408,-20.615385055541992
18432,-20.630952835083008
19456,-20.627906799316406
20480,-20.595745086669922
21504,-20.587629318237305
22528,-20.56999969482422
23552,-20.579999923706055
24576,-20.579999923706055
25600,-20.59000015258789
26624,-20.600000381469727
27648,-20.59000015258789
28672,-20.579999923706055
29696,-20.56999969482422
30720,-20.59000015258789
31744,-20.59000015258789
32768,-20.6200008392334
33792,-20.59000015258789
34816,-20.610000610351562
35840,-20.6200008392334
36864,-20.600000381469727
37888,-20.579999923706055
38912,-20.56999969482422
39936,-20.579999923706055
40960,-20.579999923706055
41984,-20.6200008392334
43008,-20.649999618530273
44032,-20.6299991607666
45056,-20.6200008392334
46080,-20.610000610351562
47104,-20.610000610351562
48128,-20.579999923706055
49152,-20.59000015258789
50176,-20.610000610351562
51200,-20.610000610351562
52224,-20.610000610351562
53248,-20.6200008392334
54272,-20.579999923706055
55296,-20.530000686645508
56320,-20.56999969482422
57344,-20.579999923706055
58368,-20.59000015258789
59392,-20.610000610351562
60416,-20.600000381469727
61440,-20.600000381469727
62464,-20.579999923706055
63488,-20.56999969482422
64512,-20.579999923706055
65536,-20.559999465942383
66560,-20.56999969482422
67584,-20.610000610351562
68608,-20.600000381469727
69632,-20.59000015258789
70656,-20.6200008392334
71680,-20.6200008392334
72704,-20.6200008392334
73728,-20.6200008392334
74752,-20.6299991607666
75776,-20.649999618530273
76800,-20.68000030517578
77824,-20.700000762939453
78848,-20.690000534057617
79872,-20.68000030517578
80896,-20.690000534057617
81920,-20.690000534057617
82944,-20.670000076293945
83968,-20.649999618530273
84992,-20.65999984741211
86016,-20.690000534057617
87040,-20.65999984741211
88064,-20.68000030517578
89088,-20.690000534057617
90112,-20.68000030517578
91136,-20.690000534057617
92160,-20.700000762939453
93184,-20.649999618530273
94208,-20.649999618530273
95232,-20.670000076293945
96256,-20.68000030517578
97280,-20.649999618530273
98304,-20.649999618530273
99328,-20.649999618530273
100352,-20.639999389648438
101376,-20.65999984741211
102400,-20.649999618530273
103424,-20.6299991607666
104448,-20.6200008392334
105472,-20.610000610351562
106496,-20.65999984741211
107520,-20.65999984741211
108544,-20.6299991607666
109568,-20.639999389648438
110592,-20.670000076293945
111616,-20.670000076293945
112640,-20.670000076293945
113664,-20.670000076293945
114688,-20.670000076293945
115712,-20.700000762939453
116736,-20.719999313354492
117760,-20.709999084472656
118784,-20.68000030517578
119808,-20.700000762939453
120832,-20.709999084472656
121856,-20.709999084472656
122880,-20.700000762939453
123904,-20.670000076293945
124928,-20.690000534057617
125952,-20.700000762939453
126976,-20.729999542236328
128000,-20.739999771118164
129024,-20.719999313354492
130048,-20.719999313354492
131072,-20.760000228881836
132096,-20.760000228881836
133120,-20.760000228881836
134144,-20.75
135168,-20.719999313354492
136192,-20.719999313354492
137216,-20.709999084472656
138240,-20.719999313354492
139264,-20.719999313354492
140288,-20.75
141312,-20.75
142336,-20.719999313354492
143360,-20.709999084472656
144384,-20.719999313354492
145408,-20.719999313354492
146432,-20.729999542236328
147456,-20.729999542236328
148480,-20.729999542236328
149504,-20.729999542236328
150528,-20.729999542236328
151552,-20.739999771118164
152576,-20.709999084472656
153600,-20.68000030517578
154624,-20.670000076293945
155648,-20.65999984741211
156672,-20.670000076293945
157696,-20.65999984741211
158720,-20.649999618530273
159744,-20.649999618530273
160768,-20.670000076293945
161792,-20.65999984741211
162816,-20.6299991607666
163840,-20.6299991607666
164864,-20.600000381469727
165888,-20.600000381469727
166912,-20.6299991607666
