step,train/clip_fraction
2048,0.0
3072,0.0
4096,0.003173828125
5120,0.017333984375
6144,0.03955078125
7168,0.002685546875
8192,0.077392578125
9216,0.072265625
10240,0.0
11264,0.00634765625
12288,0.029052734375
13312,0.03076171875
14336,0.002197265625
15360,0.111572265625
16384,0.043212890625
17408,0.043212890625
18432,0.007080078125
19456,0.044189453125
20480,0.05810546875
21504,0.0703125
22528,0.06201171875
23552,0.042724609375
24576,0.059814453125
25600,0.014892578125
26624,0.061279296875
27648,0.05712890625
28672,0.013671875
29696,0.023681640625
30720,0.035888671875
31744,0.10205078125
32768,0.061767578125
33792,0.06005859375
34816,0.09228515625
35840,0.075439453125
36864,0.14306640625
37888,0.087890625
38912,0.13037109375
39936,0.06396484375
40960,0.1064453125
41984,0.075439453125
43008,0.0498046875
44032,0.03857421875
45056,0.1181640625
46080,0.087158203125
47104,0.034423828125
48128,0.0498046875
49152,0.079833984375
50176,0.03466796875
51200,0.083984375
52224,0.10302734375
53248,0.0380859375
54272,0.04736328125
55296,0.077392578125
56320,0.072998046875
57344,0.126220703125
58368,0.059814453125
59392,0.020751953125
60416,0.039306640625
61440,0.081787109375
62464,0.166748046875
63488,0.021728515625
64512,0.02783203125
65536,0.031494140625
66560,0.090087890625
67584,0.047119140625
68608,0.04638671875
69632,0.065673828125
70656,0.05419921875
71680,0.02099609375
72704,0.076904296875
73728,0.026123046875
74752,0.125
75776,0.031494140625
76800,0.065185546875
77824,0.0380859375
78848,0.154541015625
79872,0.089599609375
80896,0.0771484375
81920,0.047119140625
82944,0.1435546875
83968,0.06689453125
84992,0.0517578125
86016,0.044189453125
87040,0.06640625
88064,0.13818359375
89088,0.010986328125
90112,0.09716796875
91136,0.033203125
92160,0.077392578125
93184,0.072509765625
94208,0.01708984375
95232,0.03759765625
96256,0.412841796875
97280,0.10498046875
98304,0.12939453125
99328,0.113037109375
100352,0.020751953125
101376,0.01708984375
102400,0.066162109375
103424,0.032958984375
104448,0.031494140625
105472,0.028564453125
106496,0.03759765625
107520,0.046142578125
108544,0.0546875
109568,0.050048828125
110592,0.096435546875
111616,0.06005859375
112640,0.12353515625
113664,0.04345703125
114688,0.0625
115712,0.0693359375
116736,0.038330078125
117760,0.029052734375
118784,0.072509765625
119808,0.02880859375
120832,0.056640625
121856,0.084228515625
122880,0.12255859375
123904,0.03759765625
124928,0.0595703125
125952,0.056884765625
126976,0.036865234375
128000,0.27587890625
129024,0.010498046875
130048,0.054443359375
131072,0.056396484375
132096,0.030517578125
133120,0.0302734375
134144,0.0244140625
135168,0.073486328125
136192,0.107177734375
137216,0.071533203125
138240,0.07421875
139264,0.026611328125
140288,0.104248046875
141312,0.05810546875
142336,0.066650390625
143360,0.068603515625
144384,0.0615234375
145408,0.0244140625
146432,0.022705078125
147456,0.1572265625
148480,0.086669921875
149504,0.07421875
150528,0.119873046875
151552,0.099609375
152576,0.06103515625
153600,0.06396484375
154624,0.10791015625
155648,0.092041015625
156672,0.14453125
157696,0.017333984375
158720,0.1455078125
159744,0.10595703125
160768,0.10693359375
161792,0.0986328125
162816,0.055419921875
163840,0.096435546875
164864,0.057861328125
165888,0.135986328125
166912,0.0849609375
167936,0.069091796875
168960,0.095703125
169984,0.079833984375
171008,0.087158203125
172032,0.139892578125
173056,0.113037109375
174080,0.10546875
175104,0.12451171875
176128,0.096923828125
177152,0.13525390625
178176,0.164306640625
179200,0.070068359375
180224,0.072509765625
181248,0.05419921875
182272,0.056884765625
183296,0.107177734375
184320,0.172607421875
185344,0.194580078125
186368,0.079833984375
187392,0.0908203125
188416,0.0546875
189440,0.1064453125
190464,0.1669921875
191488,0.079833984375
192512,0.101806640625
193536,0.082275390625
194560,0.09521484375
