step,train/explained_variance
2048,-11.196317672729492
3072,-7.470264434814453
4096,-0.003440380096435547
5120,0.0023525357246398926
6144,0.003815174102783203
7168,0.004757702350616455
8192,0.00788038969039917
9216,0.01545625925064087
10240,0.03670245409011841
11264,0.045262932777404785
12288,0.042051851749420166
13312,0.028672635555267334
14336,0.09582704305648804
15360,0.13563841581344604
16384,0.1079438328742981
17408,0.07928532361984253
18432,0.25508683919906616
19456,0.3160097002983093
20480,0.29588788747787476
21504,0.03642648458480835
22528,0.3730581998825073
23552,0.4154021143913269
24576,0.4592704176902771
25600,-0.015032529830932617
26624,0.3574379086494446
27648,0.4045220613479614
28672,0.4764077067375183
29696,0.06299102306365967
30720,0.46232283115386963
31744,0.5316401720046997
32768,0.48997706174850464
33792,0.06862783432006836
34816,0.46442824602127075
35840,0.47923558950424194
36864,0.5160385370254517
37888,0.03704047203063965
38912,0.41120821237564087
39936,0.49364542961120605
40960,0.5388487577438354
41984,0.10646724700927734
43008,0.4864844083786011
44032,0.4409419894218445
45056,0.5039379596710205
46080,0.092071533203125
47104,0.47172337770462036
48128,0.580527663230896
49152,0.5541359186172485
50176,0.08522814512252808
51200,0.45672786235809326
52224,0.5445137023925781
53248,0.5991041660308838
54272,0.09803801774978638
55296,0.37790870666503906
56320,0.5173821449279785
57344,0.610823392868042
58368,0.11412191390991211
59392,0.553566575050354
60416,0.5875540971755981
61440,0.5960283279418945
62464,0.12509846687316895
63488,0.5247220396995544
64512,0.5802524089813232
65536,0.5729252696037292
66560,0.10397738218307495
67584,0.5295330286026001
68608,0.5321013927459717
69632,0.6039243936538696
70656,0.06834453344345093
71680,0.5236573219299316
72704,0.5893988609313965
73728,0.47004735469818115
74752,0.13375192880630493
75776,0.4405595064163208
76800,0.5346578359603882
77824,0.5367821455001831
78848,0.1138867735862732
79872,0.4422968626022339
80896,0.528319239616394
81920,0.6021775603294373
82944,0.12728410959243774
83968,0.47552454471588135
84992,0.511050820350647
86016,0.5446538329124451
87040,0.09025454521179199
88064,0.46958351135253906
89088,0.5521389245986938
90112,0.5832278728485107
91136,0.061490774154663086
92160,0.5126595497131348
93184,0.5205219388008118
94208,0.5753961205482483
95232,0.10101741552352905
96256,0.4237086772918701
97280,0.5041570067405701
98304,0.5710031986236572
99328,0.1037055253982544
100352,0.4586881399154663
101376,0.5416758060455322
102400,0.6042307615280151
103424,0.10104262828826904
104448,0.5194740295410156
105472,0.512802004814148
106496,0.5396980047225952
107520,0.05125612020492554
108544,0.45954614877700806
109568,0.5108458995819092
110592,0.6202197670936584
111616,0.10550510883331299
112640,0.5187180042266846
113664,0.473541259765625
114688,0.5741307139396667
115712,0.08969801664352417
116736,0.5135958194732666
117760,0.5161908864974976
118784,0.5887845754623413
119808,0.14344173669815063
120832,0.5490492582321167
121856,0.5021625757217407
122880,0.6066696643829346
