step,train/clip_range
2048,0.09998975694179535
3072,0.09997951984405518
4096,0.099969282746315
5120,0.09995903819799423
6144,0.09994880110025406
7168,0.09993855655193329
8192,0.09992831945419312
9216,0.09991808235645294
10240,0.09990783780813217
11264,0.099897600710392
12288,0.09988736361265182
13312,0.09987711906433105
14336,0.09986688196659088
15360,0.09985663741827011
16384,0.09984640032052994
17408,0.09983616322278976
18432,0.099825918674469
19456,0.09981568157672882
20480,0.09980543702840805
21504,0.09979519993066788
22528,0.0997849628329277
23552,0.09977471828460693
24576,0.09976448118686676
25600,0.09975423663854599
26624,0.09974399954080582
27648,0.09973376244306564
28672,0.09972351789474487
29696,0.0997132807970047
30720,0.09970304369926453
31744,0.09969279915094376
32768,0.09968256205320358
33792,0.09967231750488281
34816,0.09966208040714264
35840,0.09965184330940247
36864,0.0996415987610817
37888,0.09963136166334152
38912,0.09962111711502075
39936,0.09961088001728058
40960,0.0996006429195404
41984,0.09959039837121964
43008,0.09958016127347946
44032,0.09956991672515869
45056,0.09955967962741852
46080,0.09954944252967834
47104,0.09953919798135757
48128,0.0995289608836174
49152,0.09951871633529663
50176,0.09950847923755646
51200,0.09949824213981628
52224,0.09948799759149551
53248,0.09947776049375534
54272,0.09946752339601517
55296,0.0994572788476944
56320,0.09944704174995422
57344,0.09943679720163345
58368,0.09942656010389328
59392,0.0994163230061531
60416,0.09940607845783234
61440,0.09939584136009216
62464,0.09938559681177139
63488,0.09937535971403122
64512,0.09936512261629105
65536,0.09935487806797028
66560,0.0993446409702301
67584,0.09933439642190933
68608,0.09932415932416916
69632,0.09931392222642899
70656,0.09930367767810822
71680,0.09929344058036804
72704,0.09928320348262787
73728,0.0992729589343071
74752,0.09926272183656693
75776,0.09925247728824615
76800,0.09924224019050598
77824,0.09923200309276581
78848,0.09922175854444504
79872,0.09921152144670486
80896,0.0992012768983841
81920,0.09919103980064392
82944,0.09918080270290375
83968,0.09917055815458298
84992,0.0991603210568428
86016,0.09915007650852203
87040,0.09913983941078186
88064,0.09912960231304169
89088,0.09911935776472092
90112,0.09910912066698074
91136,0.09909888356924057
92160,0.0990886390209198
93184,0.09907840192317963
94208,0.09906815737485886
95232,0.09905792027711868
96256,0.09904768317937851
97280,0.09903743863105774
98304,0.09902720153331757
99328,0.0990169569849968
100352,0.09900671988725662
101376,0.09899648278951645
102400,0.09898623824119568
103424,0.0989760011434555
104448,0.09896575659513474
105472,0.09895551949739456
106496,0.09894528239965439
107520,0.09893503785133362
108544,0.09892480075359344
109568,0.09891456365585327
110592,0.0989043191075325
111616,0.09889408200979233
112640,0.09888383746147156
113664,0.09887360036373138
114688,0.09886336326599121
115712,0.09885311871767044
116736,0.09884288161993027
117760,0.0988326370716095
118784,0.09882239997386932
119808,0.09881216287612915
120832,0.09880191832780838
121856,0.0987916812300682
122880,0.09878143668174744
123904,0.09877119958400726
124928,0.09876096248626709
125952,0.09875071793794632
126976,0.09874048084020615
128000,0.09873023629188538
129024,0.0987199991941452
130048,0.09870976209640503
131072,0.09869951754808426
132096,0.09868928045034409
133120,0.09867904335260391
134144,0.09866879880428314
135168,0.09865856170654297
136192,0.0986483171582222
137216,0.09863808006048203
138240,0.09862784296274185
139264,0.09861759841442108
140288,0.09860736131668091
141312,0.09859711676836014
142336,0.09858687967061996
143360,0.09857664257287979
144384,0.09856639802455902
145408,0.09855616092681885
146432,0.09854591637849808
147456,0.0985356792807579
148480,0.09852544218301773
149504,0.09851519763469696
150528,0.09850496053695679
151552,0.09849472343921661
152576,0.09848447889089584
153600,0.09847424179315567
154624,0.0984639972448349
155648,0.09845376014709473
156672,0.09844352304935455
157696,0.09843327850103378
158720,0.09842304140329361
159744,0.09841279685497284
160768,0.09840255975723267
161792,0.09839232265949249
162816,0.09838207811117172
163840,0.09837184101343155
164864,0.09836159646511078
165888,0.0983513593673706
166912,0.09834112226963043
167936,0.09833087772130966
168960,0.09832064062356949
169984,0.09831040352582932
171008,0.09830015897750854
172032,0.09828992187976837
173056,0.0982796773314476
174080,0.09826944023370743
175104,0.09825920313596725
176128,0.09824895858764648
177152,0.09823872148990631
178176,0.09822847694158554
179200,0.09821823984384537
180224,0.0982080027461052
181248,0.09819775819778442
182272,0.09818752110004425
183296,0.09817727655172348
184320,0.0981670394539833
185344,0.09815680235624313
186368,0.09814655780792236
187392,0.09813632071018219
188416,0.09812608361244202
189440,0.09811583906412125
190464,0.09810560196638107
191488,0.0980953574180603
192512,0.09808512032032013
