step,rollout/episode_length
4096,1788.4285888671875
5120,1823.75
6144,1823.75
7168,1792.272705078125
8192,1801.125
9216,1801.125
10240,1794.3333740234375
11264,1779.8260498046875
12288,1785.75
13312,1785.75
14336,1783.800048828125
15360,1784.709716796875
16384,1802.46875
17408,1796.6470947265625
18432,1801.131591796875
19456,1804.074951171875
20480,1804.074951171875
21504,1817.111083984375
22528,1817.7659912109375
23552,1816.5625
24576,1808.1800537109375
25600,1805.7818603515625
26624,1806.25
27648,1802.1033935546875
28672,1796.6451416015625
29696,1794.4603271484375
30720,1791.6461181640625
31744,1789.432861328125
32768,1790.18310546875
33792,1786.736083984375
34816,1786.9200439453125
35840,1786.51953125
36864,1788.5
37888,1786.695068359375
38912,1784.4642333984375
39936,1784.04541015625
40960,1782.606689453125
41984,1783.0111083984375
43008,1789.3084716796875
44032,1791.0947265625
45056,1791.0947265625
46080,1806.7099609375
47104,1811.75
48128,1811.75
49152,1810.43994140625
50176,1814.68994140625
51200,1813.530029296875
52224,1813.2099609375
53248,1812.6300048828125
54272,1811.6700439453125
55296,1817.9000244140625
56320,1816.4100341796875
57344,1813.0699462890625
58368,1816.02001953125
59392,1817.6800537109375
60416,1821.199951171875
61440,1820.1700439453125
62464,1830.010009765625
63488,1828.9000244140625
64512,1837.239990234375
65536,1837.969970703125
66560,1841.9100341796875
67584,1831.489990234375
68608,1833.9000244140625
69632,1833.9000244140625
70656,1837.989990234375
71680,1835.93994140625
72704,1850.469970703125
73728,1859.0999755859375
74752,1863.8800048828125
75776,1881.1600341796875
76800,1892.780029296875
77824,1926.0999755859375
78848,1927.199951171875
79872,1927.199951171875
80896,1927.199951171875
81920,1939.989990234375
82944,1950.8699951171875
83968,1950.8699951171875
84992,1950.8699951171875
86016,1950.8699951171875
87040,1950.8699951171875
88064,1989.75
89088,1989.75
90112,1989.75
91136,1989.75
92160,1989.75
93184,1989.75
94208,1989.75
95232,1989.75
96256,1989.75
97280,1989.75
98304,1989.75
99328,1989.75
100352,1989.75
101376,1989.75
102400,1989.75
103424,1989.75
104448,1989.75
105472,1989.75
106496,1989.75
107520,2124.300048828125
108544,2124.300048828125
109568,2124.300048828125
110592,2124.300048828125
111616,2124.300048828125
112640,2124.300048828125
113664,2124.300048828125
114688,2124.300048828125
115712,2124.300048828125
116736,2124.300048828125
117760,2326.22998046875
118784,2326.22998046875
119808,2326.22998046875
120832,2326.22998046875
121856,2326.22998046875
122880,2326.22998046875
123904,2326.22998046875
124928,2326.22998046875
125952,2326.22998046875
126976,2577.929931640625
128000,2577.929931640625
129024,2577.929931640625
130048,2830.81005859375
131072,2830.81005859375
132096,2830.81005859375
133120,3081.409912109375
134144,3081.409912109375
135168,3081.409912109375
136192,3335.989990234375
137216,3588.9599609375
138240,3588.9599609375
139264,3588.9599609375
140288,3588.9599609375
141312,3588.9599609375
142336,3839.580078125
143360,3839.580078125
144384,3839.580078125
145408,3839.580078125
146432,3839.580078125
147456,3839.580078125
148480,3839.580078125
149504,3839.580078125
150528,3839.580078125
151552,3839.580078125
152576,3839.580078125
153600,3839.580078125
154624,3839.580078125
155648,3839.580078125
156672,3839.580078125
157696,3839.580078125
158720,3839.580078125
159744,3839.580078125
160768,3839.580078125
161792,4092.25
162816,4092.25
163840,4092.25
164864,4092.25
165888,4092.25
166912,4092.25
167936,4092.25
168960,4092.25
169984,4092.25
171008,4344.58984375
172032,4344.58984375
173056,4344.58984375
174080,4344.58984375
175104,4344.58984375
176128,4344.58984375
177152,4344.58984375
178176,4344.58984375
179200,4344.58984375
180224,4596.81982421875
181248,4596.81982421875
182272,4596.81982421875
183296,4850.10986328125
184320,4850.10986328125
185344,4850.10986328125
186368,5102.16015625
187392,5102.16015625
188416,5102.16015625
189440,5351.64013671875
