step,train/entropy_loss
2048,-1.0973485708236694
3072,-1.0962748527526855
4096,-1.0927848815917969
5120,-1.0831847190856934
6144,-1.0547001361846924
7168,-1.0377036333084106
8192,-1.002433180809021
9216,-0.953889012336731
10240,-0.9421473145484924
11264,-0.8953062891960144
12288,-0.8136987090110779
13312,-0.790407657623291
14336,-0.7688682675361633
15360,-0.7504516243934631
16384,-0.6583523154258728
17408,-0.6782125234603882
18432,-0.6185774803161621
19456,-0.5799468159675598
20480,-0.5414814949035645
21504,-0.524082601070404
22528,-0.508608341217041
23552,-0.5292213559150696
24576,-0.492640882730484
25600,-0.4972732663154602
26624,-0.42808714509010315
27648,-0.38348522782325745
28672,-0.3774448037147522
29696,-0.38782358169555664
30720,-0.36082956194877625
31744,-0.35282012820243835
32768,-0.3012712001800537
33792,-0.2794426381587982
34816,-0.2510361969470978
35840,-0.22358012199401855
36864,-0.258474737405777
37888,-0.20233917236328125
38912,-0.19496262073516846
39936,-0.20307904481887817
40960,-0.2447277307510376
41984,-0.24787648022174835
43008,-0.27028894424438477
44032,-0.23637714982032776
45056,-0.24422220885753632
46080,-0.27728986740112305
47104,-0.27444547414779663
48128,-0.27070102095603943
49152,-0.2727126181125641
50176,-0.29857587814331055
51200,-0.25063949823379517
52224,-0.2678552269935608
53248,-0.2458515465259552
54272,-0.26267874240875244
55296,-0.2124428153038025
56320,-0.208565816283226
57344,-0.20408499240875244
58368,-0.24838367104530334
59392,-0.22789250314235687
60416,-0.19698332250118256
61440,-0.16431692242622375
62464,-0.16334471106529236
63488,-0.13700667023658752
64512,-0.16570043563842773
65536,-0.13399842381477356
66560,-0.19934946298599243
67584,-0.16762925684452057
68608,-0.1488093137741089
69632,-0.13549543917179108
70656,-0.1531989872455597
71680,-0.15416723489761353
72704,-0.13627780973911285
73728,-0.17064251005649567
74752,-0.18608006834983826
75776,-0.1414003223180771
76800,-0.13145437836647034
77824,-0.10082707554101944
78848,-0.11658374220132828
79872,-0.0947829857468605
80896,-0.09603692591190338
81920,-0.08904039114713669
82944,-0.09938527643680573
83968,-0.0810903012752533
84992,-0.08165699243545532
86016,-0.07764041423797607
87040,-0.07007333636283875
88064,-0.05565667152404785
89088,-0.06104171648621559
90112,-0.05742970481514931
91136,-0.08404548466205597
92160,-0.06624121218919754
93184,-0.05407778546214104
94208,-0.052622225135564804
95232,-0.058982063084840775
96256,-0.030778568238019943
97280,-0.032374124974012375
98304,-0.036707304418087006
99328,-0.04641658440232277
100352,-0.049842868000268936
101376,-0.04868074133992195
102400,-0.05623063072562218
103424,-0.05658393353223801
104448,-0.05576034262776375
105472,-0.05908074975013733
106496,-0.0646858662366867
107520,-0.09937287122011185
108544,-0.07730007916688919
109568,-0.11044688522815704
110592,-0.08228675276041031
111616,-0.09504992514848709
112640,-0.08440998196601868
113664,-0.05062522366642952
114688,-0.03897031396627426
115712,-0.052082158625125885
116736,-0.025300204753875732
117760,-0.022222794592380524
118784,-0.021462952718138695
119808,-0.02980375476181507
120832,-0.03151809424161911
121856,-0.027765104547142982
122880,-0.022431591525673866
123904,-0.02553260698914528
124928,-0.022003764286637306
125952,-0.017574535682797432
126976,-0.015110377222299576
128000,-0.019594388082623482
129024,-0.008897962048649788
130048,-0.005301748868077993
131072,-0.005821011494845152
132096,-0.008642942644655704
133120,-0.009645207785069942
134144,-0.006164552178233862
135168,-0.0067661600187420845
136192,-0.010559575632214546
137216,-0.011871389113366604
138240,-0.011681593954563141
139264,-0.015261962078511715
140288,-0.016780419275164604
141312,-0.012876775115728378
142336,-0.010066589340567589
143360,-0.013068176805973053
144384,-0.009547911584377289
145408,-0.014620155096054077
146432,-0.01686497963964939
147456,-0.02203679271042347
148480,-0.025919372215867043
149504,-0.029452981427311897
150528,-0.029979219660162926
151552,-0.03723021224141121
152576,-0.035750895738601685
153600,-0.034373700618743896
154624,-0.0449797697365284
155648,-0.05594645440578461
156672,-0.035655878484249115
157696,-0.03365597873926163
158720,-0.030869321897625923
159744,-0.04478129372000694
160768,-0.028068067505955696
161792,-0.021431993693113327
162816,-0.023079032078385353
163840,-0.041998546570539474
164864,-0.03586632013320923
165888,-0.04233235865831375
166912,-0.03604709357023239
167936,-0.051788151264190674
168960,-0.046728167682886124
169984,-0.04266961291432381
171008,-0.04429466649889946
172032,-0.0527004636824131
173056,-0.04243287444114685
174080,-0.044422805309295654
175104,-0.0377749465405941
176128,-0.056952156126499176
177152,-0.05783868953585625
178176,-0.08193261176347733
179200,-0.09349732100963593
180224,-0.10620974004268646
181248,-0.06455519795417786
182272,-0.04937499016523361
183296,-0.038467876613140106
184320,-0.06586291640996933
185344,-0.05674843117594719
186368,-0.0633116140961647
187392,-0.05440665781497955
188416,-0.08745598793029785
189440,-0.060838066041469574
190464,-0.0798158273100853
191488,-0.07606662809848785
192512,-0.08916999399662018
193536,-0.04988997057080269
194560,-0.0593508817255497
195584,-0.06428251415491104
196608,-0.07115812599658966
197632,-0.040444958955049515
198656,-0.04319029301404953
199680,-0.02899586595594883
200000,-0.04027877748012543
201728,-0.0494246743619442
202752,-0.03634197637438774
203776,-0.032954759895801544
204800,-0.05816010385751724
205824,-0.042901284992694855
206848,-0.061674315482378006
207872,-0.060356441885232925
208896,-0.09147296100854874
209920,-0.07042453438043594
210944,-0.09549491107463837
211968,-0.07453490793704987
212992,-0.10934346914291382
214016,-0.08637800067663193
215040,-0.08381311595439911
216064,-0.07874415814876556
217088,-0.11101483553647995
218112,-0.08172557502985
219136,-0.10046878457069397
220160,-0.09347285330295563
221184,-0.08712895959615707
222208,-0.05968952924013138
223232,-0.04620153456926346
224256,-0.03579710051417351
225280,-0.08039359748363495
226304,-0.08454392105340958
227328,-0.0975835993885994
228352,-0.10980682075023651
229376,-0.1317647099494934
230400,-0.11826273798942566
231424,-0.08581168949604034
232448,-0.07118963450193405
233472,-0.09880436956882477
234496,-0.10590268671512604
235520,-0.09366889297962189
236544,-0.0849103182554245
237568,-0.1351359784603119
238592,-0.11986114829778671
239616,-0.13683117926120758
240640,-0.10565647482872009
241664,-0.16382446885108948
242688,-0.20590749382972717
243712,-0.23524755239486694
244736,-0.21274080872535706
245760,-0.22965764999389648
246784,-0.18942604959011078
247808,-0.14567111432552338
248832,-0.15951499342918396
249856,-0.20090441405773163
250880,-0.17060256004333496
251904,-0.19590306282043457
252928,-0.18703871965408325
253952,-0.20982486009597778
254976,-0.16885648667812347
256000,-0.1815444976091385
257024,-0.15501610934734344
258048,-0.17604580521583557
259072,-0.14802363514900208
260096,-0.13223408162593842
261120,-0.13710656762123108
262144,-0.1733708679676056
263168,-0.1535840630531311
264192,-0.1904592514038086
265216,-0.2023889720439911
266240,-0.21650084853172302
267264,-0.22911503911018372
268288,-0.24787764251232147
269312,-0.2148922085762024
270336,-0.19581261277198792
271360,-0.1753239631652832
272384,-0.1523257941007614
273408,-0.12886586785316467
274432,-0.14864225685596466
275456,-0.11266224831342697
276480,-0.11761011928319931
277504,-0.10084329545497894
278528,-0.1848958432674408
279552,-0.12933076918125153
280576,-0.11954297870397568
281600,-0.10572405159473419
282624,-0.1557372659444809
283648,-0.15353718400001526
284672,-0.13682499527931213
285696,-0.13336509466171265
286720,-0.14429691433906555
287744,-0.12697537243366241
288768,-0.1161772683262825
