step,rollout/episode_length
4096,1786.0
5120,1786.0
6144,1786.0
7168,1786.0
8192,1786.0
9216,1786.0
10240,1786.0
11264,1786.0
12288,1786.0
13312,1786.0
14336,1786.0
15360,1786.0
16384,1786.0
17408,1786.0
18432,1786.0
19456,1786.0
20480,1786.0
21504,1786.0
22528,1786.0
23552,1786.0
24576,1786.0
25600,1786.0
26624,1786.0
27648,1786.0
28672,1786.0
29696,1786.0
30720,1786.0
31744,1786.0
32768,1786.0
33792,1786.0
34816,1786.0
35840,1786.0
36864,1786.0
37888,1786.0
38912,1786.0
39936,1786.0
40960,1786.0
41984,1786.0
43008,1786.0
44032,1786.0
45056,1786.0
46080,1786.0
47104,1786.0
48128,1786.0
49152,1786.0
50176,1786.0
51200,1786.0
52224,1786.0
53248,1786.0
54272,1786.0
55296,1786.0
56320,1786.0
57344,1786.0
58368,1786.0
59392,1786.0
60416,1786.0
61440,1786.0
62464,1786.0
63488,1786.0
64512,1786.0
65536,1786.0
66560,1786.0
67584,1786.0
68608,1786.0
69632,1786.0
70656,1786.0
71680,1786.0
72704,1786.0
73728,1786.0
74752,1786.0
75776,1786.0
76800,1786.0
77824,1786.0
78848,1786.0
79872,1786.0
80896,1786.0
81920,1786.0
82944,1786.0
83968,1786.0
84992,1786.0
86016,1786.0
87040,1786.0
88064,1786.0
89088,1786.0
90112,1786.0
91136,1786.0
92160,1786.0
93184,1786.0
94208,1786.0
95232,1786.0
96256,1786.0
97280,1786.0
98304,1786.0
99328,1786.0
100352,1786.0
101376,1786.0
102400,1786.0
103424,1786.0
104448,1786.0
105472,1786.0
106496,1786.0
107520,1786.0
108544,1786.0
109568,1786.0
110592,1786.0
111616,1786.0
112640,1786.0
113664,1786.0
114688,1786.0
115712,1786.0
116736,1786.0
117760,1786.0
118784,1786.0
119808,1786.0
120832,1786.0
121856,1786.0
122880,1786.0
123904,1786.0
124928,1786.0
125952,1786.0
126976,1786.0
128000,1786.0
129024,1786.0
130048,1786.0
131072,1786.0
132096,1786.0
133120,1786.0
134144,1786.0
135168,1786.0
136192,1786.0
137216,1786.0
138240,1786.0
139264,1786.0
140288,1786.0
141312,1786.0
142336,1786.0
143360,1786.0
144384,1786.0
145408,1786.0
146432,1786.0
147456,1786.0
148480,1786.0
149504,1786.0
150528,1786.0
151552,1786.0
152576,1786.0
153600,1786.0
154624,1786.0
155648,1786.0
156672,1786.0
157696,1786.0
158720,1786.0
159744,1786.0
160768,1786.0
161792,1786.0
162816,1786.0
163840,1786.0
164864,1786.0
165888,1786.0
166912,1786.0
167936,1786.0
168960,1786.0
169984,1786.0
171008,1786.0
172032,1786.0
173056,1786.0
174080,1786.0
175104,1786.0
176128,1786.0
177152,1786.0
178176,1786.0
179200,1786.0
180224,1786.0
181248,1786.0
182272,1786.0
183296,1786.0
184320,1786.0
185344,1786.0
186368,1786.0
187392,1786.0
188416,1786.0
189440,1786.0
190464,1786.0
191488,1786.0
192512,1786.0
193536,1786.0
194560,1786.0
195584,1786.0
