step,time/fps
1024,1089.0
2048,987.0
3072,988.0
4096,979.0
5120,976.0
6144,980.0
7168,975.0
8192,958.0
9216,960.0
10240,962.0
11264,962.0
12288,956.0
13312,959.0
14336,961.0
15360,965.0
16384,961.0
17408,961.0
18432,963.0
19456,966.0
20480,962.0
21504,961.0
22528,961.0
23552,962.0
24576,960.0
25600,961.0
26624,962.0
27648,962.0
28672,960.0
29696,961.0
30720,962.0
31744,963.0
32768,961.0
33792,961.0
34816,962.0
35840,965.0
36864,963.0
37888,964.0
38912,965.0
39936,966.0
40960,963.0
41984,964.0
43008,964.0
44032,964.0
45056,962.0
46080,962.0
47104,962.0
48128,962.0
49152,961.0
50176,962.0
51200,962.0
52224,963.0
53248,963.0
54272,964.0
55296,963.0
56320,965.0
57344,965.0
58368,966.0
59392,966.0
60416,967.0
61440,966.0
62464,965.0
63488,966.0
64512,965.0
65536,964.0
66560,964.0
67584,965.0
68608,965.0
69632,964.0
70656,966.0
71680,967.0
72704,966.0
73728,965.0
74752,965.0
75776,965.0
76800,965.0
77824,965.0
78848,965.0
79872,965.0
80896,966.0
81920,965.0
82944,966.0
83968,966.0
84992,966.0
86016,966.0
87040,967.0
88064,967.0
89088,967.0
90112,966.0
91136,967.0
92160,967.0
93184,967.0
94208,966.0
95232,966.0
96256,966.0
97280,966.0
98304,966.0
99328,967.0
100352,967.0
101376,968.0
102400,968.0
103424,969.0
104448,969.0
105472,969.0
106496,967.0
107520,967.0
108544,966.0
109568,966.0
110592,966.0
111616,967.0
112640,966.0
113664,966.0
114688,965.0
115712,965.0
116736,965.0
117760,965.0
118784,964.0
119808,964.0
120832,964.0
121856,964.0
122880,964.0
123904,964.0
124928,964.0
125952,963.0
126976,963.0
128000,963.0
129024,963.0
130048,963.0
131072,962.0
132096,962.0
133120,962.0
134144,962.0
135168,961.0
136192,961.0
137216,961.0
138240,961.0
139264,960.0
140288,960.0
141312,960.0
142336,960.0
143360,960.0
144384,960.0
145408,960.0
146432,960.0
147456,959.0
148480,959.0
149504,959.0
150528,959.0
151552,959.0
152576,959.0
153600,959.0
154624,959.0
155648,959.0
156672,959.0
157696,959.0
158720,958.0
159744,958.0
160768,959.0
161792,959.0
162816,958.0
163840,958.0
164864,958.0
165888,958.0
166912,958.0
167936,958.0
168960,958.0
169984,958.0
171008,957.0
172032,958.0
173056,958.0
174080,958.0
175104,957.0
176128,957.0
177152,957.0
178176,957.0
179200,957.0
180224,957.0
181248,957.0
182272,957.0
183296,957.0
184320,957.0
185344,957.0
186368,957.0
187392,956.0
188416,956.0
189440,956.0
190464,957.0
191488,956.0
192512,956.0
193536,956.0
194560,956.0
195584,956.0
196608,956.0
197632,956.0
198656,957.0
199680,956.0
200704,893.0
201728,893.0
202752,894.0
203776,894.0
204800,894.0
205824,894.0
206848,895.0
207872,895.0
208896,895.0
209920,895.0
210944,895.0
211968,895.0
212992,895.0
214016,896.0
215040,896.0
216064,896.0
217088,896.0
218112,897.0
219136,897.0
220160,897.0
221184,898.0
222208,898.0
223232,898.0
224256,898.0
225280,899.0
226304,899.0
227328,899.0
228352,899.0
229376,900.0
230400,900.0
231424,900.0
232448,900.0
233472,901.0
234496,901.0
235520,901.0
236544,902.0
237568,902.0
238592,902.0
239616,903.0
240640,903.0
241664,903.0
242688,903.0
243712,904.0
244736,903.0
245760,904.0
246784,904.0
247808,904.0
248832,904.0
249856,905.0
250880,905.0
251904,905.0
252928,905.0
253952,905.0
254976,905.0
256000,906.0
257024,906.0
258048,906.0
259072,906.0
260096,906.0
261120,906.0
262144,906.0
263168,906.0
264192,907.0
265216,907.0
266240,907.0
267264,907.0
268288,907.0
269312,907.0
270336,907.0
271360,908.0
272384,908.0
273408,908.0
274432,908.0
275456,908.0
276480,908.0
277504,908.0
278528,908.0
279552,908.0
280576,908.0
281600,908.0
282624,908.0
283648,908.0
284672,909.0
285696,909.0
286720,909.0
287744,909.0
288768,909.0
289792,909.0
290816,909.0
291840,909.0
292864,910.0
293888,909.0
294912,910.0
295936,910.0
296960,910.0
297984,910.0
299008,910.0
300032,910.0
301056,910.0
302080,910.0
303104,910.0
304128,911.0
305152,911.0
306176,911.0
307200,911.0
308224,911.0
309248,911.0
310272,911.0
311296,911.0
312320,912.0
313344,912.0
314368,912.0
315392,912.0
316416,912.0
317440,913.0
318464,913.0
319488,913.0
320512,914.0
321536,913.0
322560,914.0
323584,914.0
324608,914.0
325632,914.0
326656,914.0
327680,914.0
328704,915.0
329728,915.0
330752,915.0
331776,915.0
332800,915.0
333824,915.0
334848,916.0
335872,916.0
336896,916.0
337920,916.0
338944,917.0
339968,917.0
340992,917.0
342016,917.0
343040,917.0
344064,917.0
345088,917.0
346112,917.0
347136,917.0
348160,918.0
349184,918.0
350208,918.0
351232,918.0
352256,918.0
353280,918.0
354304,918.0
355328,919.0
356352,919.0
357376,919.0
358400,919.0
359424,919.0
360448,919.0
361472,919.0
362496,919.0
363520,919.0
364544,919.0
365568,920.0
366592,920.0
367616,920.0
368640,920.0
369664,920.0
370688,920.0
371712,920.0
372736,920.0
373760,921.0
374784,920.0
375808,921.0
376832,920.0
377856,920.0
378880,920.0
379904,920.0
380928,920.0
