step,train/entropy_loss
2048,-2.196702003479004
3072,-2.192434787750244
4096,-2.186593770980835
5120,-2.1753649711608887
6144,-2.176222801208496
7168,-2.1784965991973877
8192,-2.180738925933838
9216,-2.176400661468506
10240,-2.175828456878662
11264,-2.175147771835327
12288,-2.1785645484924316
13312,-2.185040235519409
14336,-2.1874401569366455
15360,-2.1866283416748047
16384,-2.178147554397583
17408,-2.1775803565979004
18432,-2.173088550567627
19456,-2.173020601272583
20480,-2.168715476989746
21504,-2.1681699752807617
22528,-2.1663260459899902
23552,-2.162832021713257
24576,-2.1660399436950684
25600,-2.161156415939331
26624,-2.1405155658721924
27648,-2.1394989490509033
28672,-2.132622480392456
29696,-2.1094086170196533
30720,-2.0954771041870117
31744,-2.1122937202453613
32768,-2.0755650997161865
33792,-2.084547996520996
34816,-2.0632200241088867
35840,-2.062987804412842
36864,-2.066854476928711
37888,-2.0869131088256836
38912,-2.078888177871704
39936,-2.054366111755371
40960,-2.0683705806732178
41984,-2.086726427078247
43008,-2.1151468753814697
44032,-2.1045351028442383
45056,-2.121638536453247
46080,-2.087402105331421
47104,-2.0815939903259277
48128,-2.086193799972534
49152,-2.076866388320923
50176,-2.0638418197631836
51200,-2.098689556121826
52224,-2.1065995693206787
53248,-2.139784574508667
54272,-2.1328494548797607
55296,-2.128431797027588
56320,-2.1058831214904785
57344,-2.1280431747436523
58368,-2.124290943145752
59392,-2.1323740482330322
60416,-2.1316895484924316
61440,-2.1359000205993652
62464,-2.14276123046875
63488,-2.1247944831848145
64512,-2.132784128189087
65536,-2.121721029281616
66560,-2.1221766471862793
67584,-2.124235153198242
68608,-2.1405422687530518
69632,-2.1503701210021973
70656,-2.1494858264923096
71680,-2.146078109741211
72704,-2.145780086517334
73728,-2.1401519775390625
74752,-2.135491132736206
75776,-2.1217126846313477
76800,-2.1198878288269043
77824,-2.131136178970337
78848,-2.121541976928711
79872,-2.114414930343628
80896,-2.0838990211486816
81920,-2.0879645347595215
82944,-2.081547260284424
83968,-2.0700392723083496
84992,-2.059018135070801
86016,-2.0550692081451416
87040,-2.0382080078125
88064,-2.0559499263763428
89088,-2.035548448562622
90112,-2.0330235958099365
91136,-2.0303049087524414
92160,-2.058060646057129
93184,-2.059248447418213
94208,-2.00093412399292
95232,-2.051405191421509
96256,-2.0583653450012207
97280,-2.012470245361328
98304,-2.008470058441162
99328,-2.019176959991455
100352,-1.9983787536621094
101376,-1.9914766550064087
102400,-2.01686692237854
103424,-2.0119709968566895
104448,-1.996812343597412
105472,-2.005110502243042
106496,-2.026175022125244
107520,-2.004643201828003
108544,-1.9719785451889038
109568,-2.0082311630249023
110592,-1.9635730981826782
111616,-1.954420566558838
112640,-1.9693711996078491
113664,-1.948291301727295
114688,-1.9897265434265137
115712,-2.0067529678344727
116736,-2.0275449752807617
117760,-2.027027130126953
118784,-2.0378496646881104
119808,-2.0172605514526367
120832,-1.9902111291885376
